Fecha,Ticker,Tipo,Precio,Capital_Invertido,Capital_Recuperado,Beneficio,Retorno_%,Dias,operaciones_abiertas,Total_Invertido_global,Total_disponible
2025-11-25,AMD,BUY,206.1300048828125,50000.0,0.0,0.0,0.0,0,1,50000.0,200000.0
2025-11-25,NVDA,BUY,177.8101043701172,40000.0,0.0,0.0,0.0,0,2,90000.0,160000.0
2025-11-28,AMD,SELL,217.52999877929688,50000.0,52765.24368758576,2765.24368758576,5.530487375171522,3,1,40000.0,212765.24368758575
2025-12-01,NVDA,SELL,179.9099884033203,40000.0,40472.38800981347,472.38800981346867,1.1809700245336785,6,0,0.0,253237.63169739922
2025-12-02,AMD,BUY,215.24000549316406,50647.526339479846,0.0,0.0,0.0,0,1,50647.526339479846,202590.10535791938
2025-12-03,MU,BUY,234.06544494628906,40518.02107158388,0.0,0.0,0.0,0,2,91165.54741106372,162072.0842863355
2025-12-04,MRVL,BUY,98.11940002441406,32414.416857267104,0.0,0.0,0.0,0,3,123579.96426833083,129657.6674290684
2025-12-04,ON,BUY,54.790000915527344,25931.53348581368,0.0,0.0,0.0,0,4,149511.4977541445,103726.13394325472
2025-12-08,AMD,SELL,221.11000061035156,50647.526339479846,52028.77854503145,1381.252205551602,2.727185916827124,6,3,98863.97141466466,155754.91248828618
2025-12-08,MU,SELL,246.82028198242188,40518.02107158388,42725.95379703696,2207.93272545308,5.449261012901618,5,2,58345.95034308078,198480.86628532314
2025-12-08,TSLA,BUY,439.5799865722656,39696.17325706463,0.0,0.0,0.0,0,3,98042.12360014541,158784.6930282585
2025-12-11,ON,SELL,55.970001220703125,25931.53348581368,26490.015269271076,558.4817834573951,2.1536781994127896,7,1,39696.17325706463,214797.28022828657
2025-12-11,MRVL,BUY,89.3656997680664,42959.456045657316,0.0,0.0,0.0,0,2,82655.62930272194,171837.82418262927
2025-12-11,MRVL,SELL,89.3656997680664,32414.416857267104,29522.571930756985,-2891.844926510119,-8.92147756118521,7,2,65627.7067428783,188307.2649590155
2025-12-12,TSLA,SELL,458.9599914550781,39696.17325706463,41446.2803025418,1750.1070454771761,4.408755055918934,4,1,42959.456045657316,213284.10448517106
2025-12-12,AMAT,BUY,258.8871154785156,42656.82089703422,0.0,0.0,0.0,0,2,85616.27694269153,170627.28358813684
2025-12-12,AMD,BUY,210.77999877929688,34125.45671762737,0.0,0.0,0.0,0,3,119741.7336603189,136501.82687050948
2025-12-12,KLAC,BUY,1192.3707275390625,27300.365374101897,0.0,0.0,0.0,0,4,147042.0990344208,109201.46149640759
2025-12-12,LRCX,BUY,160.52000427246094,21840.29229928152,0.0,0.0,0.0,0,5,168882.3913337023,87361.16919712607
2025-12-12,MU,BUY,241.04261779785156,17472.233839425215,0.0,0.0,0.0,0,6,186354.62517312754,69888.93535770086
2025-12-12,NVDA,BUY,175.02000427246094,13977.787071540173,0.0,0.0,0.0,0,7,200332.4122446677,55911.148286160686
2025-12-17,ON,BUY,53.33000183105469,11182.229657232137,0.0,0.0,0.0,0,8,211514.64190189986,44728.91862892855
2025-12-17,TSLA,BUY,467.260009765625,8945.78372578571,0.0,0.0,0.0,0,9,220460.42562768556,35783.13490314284
2025-12-18,MU,SELL,248.4496307373047,17472.233839425215,18009.139152320164,536.905312894949,3.0729059479701393,6,5,110888.07806921961,144729.47940475764
