Tipo,Fecha,Precio,Capital
BUY,2025-03-10,226.4928436279297,500.0
SELL día 7,2025-03-19,214.30596923828125,473.0965575016834
BUY,2025-04-03,202.30825805664062,473.0965575016834
SELL día 7,2025-04-14,201.6411590576172,471.53655079220715
BUY,2025-04-16,193.4269561767578,471.53655079220715
SELL +3% D4,2025-04-23,203.71214294433594,496.60979595150934
BUY,2025-05-02,204.45889282226562,496.60979595150934
SELL +1% D6,2025-05-12,210.15048217773438,510.43408595642575
BUY,2025-05-23,194.67758178710938,510.43408595642575
SELL +2% D5,2025-06-02,201.08807373046875,527.2420489771392
BUY,2025-09-10,226.35855102539062,527.2420489771392
SELL +3% D3,2025-09-15,236.24969482421875,550.2808380999619
BUY,2025-10-10,244.80340576171875,550.2808380999619
SELL +2% D5,2025-10-17,251.81002807617188,566.0306598291581
BUY,2026-01-20,246.46937561035156,566.0306598291581
SELL +3% D4,2026-01-26,255.17123413085938,586.0149629820572
BUY,2026-02-12,261.7300109863281,586.0149629820572
SELL +1% D6,2026-02-23,266.17999267578125,595.9784969504715
