Tipo,Fecha,Precio,Capital
BUY,2025-02-27,155.2511444091797,500.0
SELL día 7,2025-03-10,148.6601104736328,478.7729940393368
BUY,2025-04-03,134.30848693847656,478.7729940393368
SELL +3% D4,2025-04-09,148.4023895263672,529.0138990894707
BUY,2025-04-10,137.0142822265625,529.0138990894707
SELL +4% D2,2025-04-14,143.24853515625,553.0844295235933
BUY,2025-04-16,136.96473693847656,553.0844295235933
SELL +3% D4,2025-04-23,142.30694580078125,574.6570810472543
BUY,2025-05-16,164.1019744873047,574.6570810472543
SELL día 7,2025-05-28,160.61265563964844,562.4380825245252
BUY,2025-07-31,178.970947265625,562.4380825245252
SELL +1% D6,2025-08-08,183.75186157226562,577.4626902411626
BUY,2025-08-15,160.78164672851562,577.4626902411626
SELL +0% D7,2025-08-26,163.983642578125,588.9629651486501
BUY,2025-10-07,210.88311767578125,588.9629651486501
SELL +4% D2,2025-10-09,219.5951385498047,613.2942520859499
BUY,2025-10-10,209.27825927734375,613.2942520859499
SELL +3% D3,2025-10-15,226.8518524169922,664.7940289775396
BUY,2025-11-04,229.45350646972656,664.7940289775396
SELL día 7,2025-11-13,222.51576232910156,644.6933517195525
BUY,2025-11-20,219.95567321777344,644.6933517195525
SELL +4% D2,2025-11-24,230.62237548828125,675.957614822963
BUY,2025-12-12,258.8871154785156,675.957614822963
SELL +0% D7,2025-12-23,259.9058532714844,678.6175524076989
BUY,2026-01-08,281.2891845703125,678.6175524076989
SELL +5% D1,2026-01-09,300.8048400878906,725.6995843784667
BUY,2026-01-30,321.91851806640625,725.6995843784667
SELL +1% D6,2026-02-09,330.1582336425781,744.2743411366076
BUY,2026-02-12,327.98095703125,744.2743411366076
SELL +5% D1,2026-02-13,354.4679260253906,804.3801825709975
