Tipo,Fecha,Precio,Capital
BUY,2021-02-25,152.85800170898438,10000.0
SELL +2% D2,2021-03-01,157.3070068359375,10291.054774837583
BUY,2021-03-18,151.39950561523438,10291.054774837583
SELL +2% D2,2021-03-22,155.5435028076172,10572.734044002207
BUY,2021-05-10,159.52450561523438,10572.734044002207
SELL +2% D5,2021-05-17,163.51950073242188,10837.508541927855
BUY,2021-07-30,166.37950134277344,10837.508541927855
SELL día 7,2021-08-10,166.03399658203125,10815.003300803794
BUY,2021-09-20,167.7864990234375,10815.003300803794
SELL +2% D4,2021-09-24,171.2760009765625,11039.925898038131
BUY,2022-01-21,142.64300537109375,11039.925898038131
SELL +1% D6,2022-01-31,149.57350158691406,11576.315077866748
BUY,2022-02-03,138.8455047607422,11576.315077866748
SELL +2% D1,2022-02-04,157.63949584960938,13143.273711423188
BUY,2022-02-11,153.2935028076172,13143.273711423188
SELL +2% D2,2022-02-15,156.510498046875,13419.096549204996
BUY,2022-02-23,144.82699584960938,13419.096549204996
SELL +2% D1,2022-02-24,151.35800170898438,14024.233717702116
BUY,2022-03-07,137.4530029296875,14024.233717702116
SELL +2% D3,2022-03-10,146.8175048828125,14979.687299954396
BUY,2022-04-06,158.75599670410156,14979.687299954396
SELL día 7,2022-04-18,152.78500366210938,14416.284275840879
BUY,2022-04-21,148.29600524902344,14416.284275840879
SELL día 7,2022-05-02,124.5,12103.005669830805
BUY,2022-05-05,116.40699768066406,12103.005669830805
SELL día 7,2022-05-16,110.81050109863281,11521.129741294904
BUY,2022-05-18,107.11250305175781,11521.129741294904
SELL +1% D6,2022-05-26,111.07749938964844,11947.60877904574
BUY,2022-06-09,116.1500015258789,11947.60877904574
SELL día 7,2022-06-21,108.68000030517578,11179.217466161685
BUY,2022-06-28,107.4000015258789,11179.217466161685
SELL +2% D3,2022-07-01,109.55999755859375,11404.050473914922
BUY,2022-07-11,111.75,11404.050473914922
SELL +1% D6,2022-07-19,118.20999908447266,12063.291240096312
BUY,2022-07-26,114.80999755859375,12063.291240096312
SELL +2% D1,2022-07-27,120.97000122070312,12710.533813010408
BUY,2022-08-22,133.22000122070312,12710.533813010408
SELL +2% D3,2022-08-25,137.27999877929688,13097.898591394945
BUY,2022-08-26,130.75,13097.898591394945
SELL día 7,2022-09-07,129.47999572753906,12970.675744960286
BUY,2022-09-13,126.81999969482422,12970.675744960286
SELL día 7,2022-09-22,117.30999755859375,11998.028257657388
BUY,2022-09-23,113.77999877929688,11998.028257657388
SELL +2% D3,2022-09-28,118.01000213623047,12444.079412086734
BUY,2022-10-07,114.55999755859375,12444.079412086734
SELL +0% D7,2022-10-18,116.36000061035156,12639.604738513317
BUY,2022-10-26,115.66000366210938,12639.604738513317
SELL día 7,2022-11-04,90.9800033569336,9942.514656144554
BUY,2022-11-09,86.13999938964844,9942.514656144554
SELL +2% D1,2022-11-10,96.62999725341797,11153.298940361616
BUY,2022-12-05,91.01000213623047,11153.298940361616
SELL +1% D6,2022-12-13,92.48999786376953,11334.672793699103
BUY,2022-12-15,88.44999694824219,11334.672793699103
SELL día 7,2022-12-27,83.04000091552734,10641.393687291495
BUY,2023-02-03,103.38999938964844,10641.393687291495
SELL día 7,2023-02-14,99.69999694824219,10261.600971188605
BUY,2023-04-25,102.56999969482422,10261.600971188605
SELL +2% D1,2023-04-26,104.9800033569336,10502.709443385642
BUY,2023-04-28,105.44999694824219,10502.709443385642
SELL +0% D7,2023-05-09,106.62000274658203,10619.240797607217
BUY,2023-06-07,121.2300033569336,10619.240797607217
SELL +2% D1,2023-06-08,124.25,10883.779861144687
BUY,2023-07-20,129.9600067138672,10883.779861144687
SELL +1% D6,2023-07-28,132.2100067138672,11072.210943188964
BUY,2023-09-21,129.3300018310547,11072.210943188964
SELL +0% D7,2023-10-02,129.4600067138672,11083.340932099232
BUY,2023-10-03,124.72000122070312,11083.340932099232
SELL +2% D3,2023-10-06,127.95999908447266,11371.265888737784
BUY,2023-10-25,121.38999938964844,11371.265888737784
SELL +2% D2,2023-10-27,127.73999786376953,11966.105013915898
BUY,2024-04-30,175.0,11966.105013915898
SELL +2% D1,2024-05-01,179.0,12239.615985662547
BUY,2024-08-02,167.89999389648438,12239.615985662547
SELL +0% D7,2024-08-13,170.22999572753906,12409.469045190248
BUY,2024-09-06,171.38999938964844,12409.469045190248
SELL +2% D1,2024-09-09,175.39999389648438,12699.812139193251
BUY,2024-10-07,180.8000030517578,12699.812139193251
SELL +2% D2,2024-10-09,185.1699981689453,13006.770745944963
BUY,2024-10-31,186.39999389648438,13006.770745944963
SELL +2% D1,2024-11-01,197.92999267578125,13811.320401169862
BUY,2024-11-15,202.61000061035156,13811.320401169862
SELL +0% D7,2024-11-26,207.86000061035156,14169.197267502774
BUY,2024-12-18,220.52000427246094,14169.197267502774
SELL +2% D3,2024-12-23,225.05999755859375,14460.908038489673
BUY,2025-02-07,229.14999389648438,14460.908038489673
SELL día 7,2025-02-19,226.6300048828125,14301.879758518715
BUY,2025-03-03,205.02000427246094,14301.879758518715
SELL día 7,2025-03-12,198.88999938964844,13874.260058362006
BUY,2025-03-28,192.72000122070312,13874.260058362006
SELL día 7,2025-04-08,170.66000366210938,12286.121094704293
BUY,2025-04-10,181.22000122070312,12286.121094704293
SELL +2% D1,2025-04-11,184.8699951171875,12533.57869709402
BUY,2025-04-21,167.32000732421875,12533.57869709402
SELL +2% D1,2025-04-22,173.17999267578125,12972.537484761942
BUY,2025-08-01,214.75,12972.537484761942
SELL +2% D3,2025-08-06,222.30999755859375,13429.218982846069
BUY,2025-09-10,230.3300018310547,13429.218982846069
SELL +0% D7,2025-09-19,231.47999572753906,13496.268519346107
BUY,2025-09-23,220.7100067138672,13496.268519346107
SELL +0% D7,2025-10-02,222.41000366210938,13600.222189762555
BUY,2025-10-10,216.3699951171875,13600.222189762555
SELL +0% D7,2025-10-21,222.02999877929688,13955.989205230046
BUY,2025-10-30,222.86000061035156,13955.989205230046
SELL +2% D1,2025-10-31,244.22000122070312,15293.599979372379
BUY,2025-11-18,222.5500030517578,15293.599979372379
SELL +2% D5,2025-11-25,229.6699981689453,15782.884884715766
BUY,2026-01-20,231.0,15782.884884715766
SELL +2% D3,2026-01-23,239.16000366210938,16340.410419165684
BUY,2026-02-05,222.69000244140625,16340.410419165684
SELL día 7,2026-02-17,201.14999389648438,14759.860883050027
