Tipo,Fecha,Precio,Capital
BUY,2021-02-25,534.3786010742188,10000.0
SELL +2% D2,2021-03-01,557.0796508789062,10424.81210435922
BUY,2021-03-02,537.5955200195312,10424.81210435922
SELL día 7,2021-03-11,519.7056274414062,10077.89930142636
BUY,2021-03-18,514.7318115234375,10077.89930142636
SELL +2% D2,2021-03-22,549.8626098632812,10765.722824514638
BUY,2021-05-04,602.2056884765625,10765.722824514638
SELL +2% D1,2021-05-05,614.5370483398438,10986.172423177964
BUY,2021-05-10,600.539794921875,10986.172423177964
SELL +2% D4,2021-05-14,620.16650390625,11345.220084673787
BUY,2021-06-18,642.4835205078125,11345.220084673787
SELL +2% D2,2021-06-22,656.595703125,11594.418410477621
BUY,2021-09-17,823.2217407226562,11594.418410477621
SELL +2% D4,2021-09-23,842.3027954101562,11863.159772392908
BUY,2021-09-27,799.7272338867188,11863.159772392908
SELL día 7,2021-10-06,701.2968139648438,10403.04218664825
BUY,2021-10-20,734.9970703125,10403.04218664825
SELL +2% D1,2021-10-21,754.01123046875,10672.16585834541
BUY,2021-11-10,785.0370483398438,10672.16585834541
SELL +2% D2,2021-11-12,817.461669921875,11112.96153817901
BUY,2021-11-22,792.6200561523438,11112.96153817901
SELL día 7,2021-12-02,757.709228515625,10623.492868062132
BUY,2021-12-09,741.6122436523438,10623.492868062132
SELL +2% D4,2021-12-15,760.4354248046875,10893.132335907687
BUY,2021-12-16,724.7086181640625,10893.132335907687
SELL +2% D3,2021-12-21,751.623779296875,11297.695500624506
BUY,2022-01-05,715.7529907226562,11297.695500624506
SELL +2% D1,2022-01-06,732.5028686523438,11562.081431210952
BUY,2022-01-10,697.9951782226562,11562.081431210952
SELL +2% D2,2022-01-12,712.3934326171875,11800.58421027135
BUY,2022-01-18,686.5343017578125,11800.58421027135
SELL día 7,2022-01-27,609.1968994140625,10471.260203263462
BUY,2022-02-03,620.0145874023438,10471.260203263462
SELL +2% D4,2022-02-09,653.072998046875,11029.574841013407
BUY,2022-02-10,630.525390625,11029.574841013407
SELL día 7,2022-02-22,614.5816650390625,10750.676453717113
BUY,2022-03-01,608.7648315429688,10750.676453717113
SELL +2% D1,2022-03-02,629.0759887695312,11109.367804513286
BUY,2022-03-03,605.4821166992188,11109.367804513286
SELL día 7,2022-03-14,554.3780517578125,10171.711946343912
BUY,2022-03-23,638.6651611328125,10171.711946343912
SELL +2% D1,2022-03-24,662.8347778320312,10556.649772734714
BUY,2022-03-30,657.0949096679688,10556.649772734714
SELL día 7,2022-04-08,586.4188232421875,9421.19326450897
BUY,2022-04-26,537.9449462890625,9421.19326450897
SELL +2% D2,2022-04-28,566.8469848632812,9927.36344609423
BUY,2022-04-29,541.151123046875,9927.36344609423
SELL +2% D3,2022-05-04,572.7720947265625,10507.447021668218
BUY,2022-05-05,545.2566528320312,10507.447021668218
SELL día 7,2022-05-16,517.0162963867188,9963.237157045884
BUY,2022-05-18,510.5890197753906,9963.237157045884
SELL +2% D3,2022-05-23,536.0171508789062,10459.421937431933
BUY,2022-06-09,524.2260131835938,10459.421937431933
SELL día 7,2022-06-21,477.7772521972656,9532.67054126116
BUY,2022-06-28,473.96942138671875,9532.67054126116
SELL día 7,2022-07-08,437.7652893066406,8804.51794791042
BUY,2022-07-11,424.3408203125,8804.51794791042
SELL +2% D3,2022-07-14,441.5827941894531,9162.266392533873
BUY,2022-08-09,524.22314453125,9162.266392533873
SELL +2% D1,2022-08-10,548.384765625,9584.558332990551
BUY,2022-08-22,503.8398132324219,9584.558332990551
SELL +2% D3,2022-08-25,522.8958740234375,9947.062290501844
BUY,2022-08-26,494.0258483886719,9947.062290501844
SELL día 7,2022-09-07,461.8038330078125,9298.28167474193
BUY,2022-09-13,456.3979797363281,9298.28167474193
SELL día 7,2022-09-22,427.27606201171875,8704.975380817237
BUY,2022-09-29,414.4299011230469,8704.975380817237
SELL +2% D3,2022-10-04,450.59490966796875,9464.610504097396
BUY,2022-10-07,420.7076721191406,9464.610504097396
SELL día 7,2022-10-18,386.53839111328125,8695.90824987768
BUY,2022-10-31,457.67681884765625,8695.90824987768
SELL +2% D5,2022-11-07,469.7146301269531,8924.627944874845
BUY,2022-11-16,560.3849487304688,8924.627944874845
SELL +2% D1,2022-11-17,572.3660888671875,9115.438241114709
BUY,2022-12-15,569.752197265625,9115.438241114709
SELL día 7,2022-12-27,521.9827880859375,8351.17774105564
BUY,2023-01-19,612.419921875,8351.17774105564
SELL +2% D1,2023-01-20,630.49365234375,8597.637613109364
BUY,2023-02-16,639.0978393554688,8597.637613109364
SELL día 7,2023-02-28,601.5570068359375,8092.609346978989
BUY,2023-04-17,622.30908203125,8092.609346978989
SELL día 7,2023-04-26,593.1529541015625,7713.458278453115
BUY,2023-07-19,699.0795288085938,7713.458278453115
SELL +0% D7,2023-07-28,701.6090087890625,7741.367890294818
BUY,2023-08-02,668.609619140625,7741.367890294818
SELL día 7,2023-08-11,647.7798461914062,7500.194370119514
BUY,2023-08-24,634.1151733398438,7500.194370119514
SELL +2% D3,2023-08-29,653.3885498046875,7728.156222685599
BUY,2023-09-07,624.2973022460938,7728.156222685599
SELL día 7,2023-09-18,585.0847778320312,7242.745644316174
BUY,2023-10-18,570.9110717773438,7242.745644316174
SELL +2% D4,2023-10-24,588.0408325195312,7460.058823437777
BUY,2024-01-02,703.5508422851562,7460.058823437777
SELL +0% D7,2024-01-11,705.1309814453125,7476.813733496154
BUY,2024-03-08,977.4954833984375,7476.813733496154
SELL día 7,2024-03-19,935.7935791015625,7157.83796731072
BUY,2024-04-12,945.5556030273438,7157.83796731072
SELL día 7,2024-04-23,886.3059692382812,6709.319364145779
BUY,2024-04-30,859.4822998046875,6709.319364145779
SELL +2% D3,2024-05-03,888.2081909179688,6933.560372416081
BUY,2024-05-29,943.6209716796875,6933.560372416081
SELL +2% D5,2024-06-05,1025.83837890625,7537.679371227817
BUY,2024-06-24,987.093994140625,7537.679371227817
SELL +2% D1,2024-06-25,1008.1064453125,7698.135336594181
BUY,2024-07-11,1046.68359375,7698.135336594181
SELL +2% D1,2024-07-12,1069.1046142578125,7863.037176351995
BUY,2024-07-17,918.185302734375,7863.037176351995
SELL día 7,2024-07-26,875.1653442382812,7494.628390050867
BUY,2024-08-01,872.16796875,7494.628390050867
SELL día 7,2024-08-12,841.7208862304688,7232.993501794028
BUY,2024-08-22,895.8546142578125,7232.993501794028
SELL día 7,2024-09-03,834.3485107421875,6736.402604154068
BUY,2024-09-04,800.8814086914062,6736.402604154068
SELL +0% D7,2024-09-13,805.6976318359375,6776.912994058134
BUY,2024-09-20,784.8929443359375,6776.912994058134
SELL +2% D2,2024-09-24,803.3684692382812,6936.434143644553
BUY,2024-10-15,720.8899536132812,6936.434143644553
SELL día 7,2024-10-24,701.5263061523438,6750.116294824044
BUY,2024-10-30,676.465087890625,6750.116294824044
SELL día 7,2024-11-08,662.259765625,6608.368288881237
BUY,2024-11-15,651.5364990234375,6608.368288881237
SELL +2% D4,2024-11-21,664.9207153320312,6744.120976194701
BUY,2025-01-27,682.717041015625,6744.120976194701
SELL +2% D2,2025-01-29,704.9746704101562,6963.989730395888
BUY,2025-02-14,745.0277099609375,6963.989730395888
SELL día 7,2025-02-26,740.4479370117188,6921.181266550192
BUY,2025-02-27,691.64501953125,6921.181266550192
SELL +2% D4,2025-03-05,733.3301391601562,7338.31760227487
BUY,2025-03-06,708.6363525390625,7338.31760227487
SELL +2% D1,2025-03-07,725.8654174804688,7516.734007356613
BUY,2025-03-10,677.181640625,7516.734007356613
SELL +2% D2,2025-03-12,697.265869140625,7739.669471696116
BUY,2025-04-03,617.8114013671875,7739.669471696116
SELL +2% D4,2025-04-09,681.295654296875,8534.972266765952
BUY,2025-04-10,643.9129028320312,8534.972266765952
SELL +2% D1,2025-04-11,663.0057983398438,8788.045831427768
BUY,2025-04-16,629.4198608398438,8788.045831427768
SELL +2% D4,2025-04-23,652.269775390625,9107.079450812664
BUY,2025-06-13,756.7320556640625,9107.079450812664
SELL +2% D5,2025-06-23,775.3470458984375,9331.106163797336
BUY,2025-07-16,750.2188720703125,9331.106163797336
SELL día 7,2025-07-25,707.2611083984375,8796.804151005508
BUY,2025-07-31,692.566162109375,8796.804151005508
SELL +2% D5,2025-08-07,710.9193115234375,9029.921316963946
BUY,2025-10-07,999.2069091796875,9029.921316963946
SELL +0% D7,2025-10-16,1016.443603515625,9185.69084996873
BUY,2025-11-04,1028.7830810546875,9185.69084996873
SELL día 7,2025-11-13,1018.5165405273438,9094.024035924534
BUY,2025-11-20,979.7476806640625,9094.024035924534
SELL +2% D3,2025-11-25,1001.8984375,9299.627497974481
BUY,2025-12-12,1079.42626953125,9299.627497974481
SELL día 7,2025-12-23,1060.4412841796875,9136.06533832767
BUY,2026-02-03,1394.041259765625,9136.06533832767
SELL +2% D4,2026-02-09,1427.60693359375,9356.043181214687
