Tipo,Fecha,Precio,Capital
BUY,2021-02-25,41.1264533996582,10000.0
SELL +2% D1,2021-02-26,42.269859313964844,10278.022007683294
BUY,2021-03-03,41.657222747802734,10278.022007683294
SELL día 7,2021-03-12,40.58758544921875,10014.11205474086
BUY,2021-03-18,41.755287170410156,10014.11205474086
SELL +2% D1,2021-03-19,43.01640701293945,10316.564660706772
BUY,2021-03-30,41.357269287109375,10316.564660706772
SELL +2% D2,2021-04-01,43.1515007019043,10764.135419755234
BUY,2021-04-19,41.88675308227539,10764.135419755234
SELL +2% D5,2021-04-26,42.77978515625,10993.628456839439
BUY,2021-05-10,39.53854751586914,10993.628456839439
SELL +0% D7,2021-05-19,40.04807662963867,11135.302193399351
BUY,2022-01-05,59.562435150146484,11135.302193399351
SELL día 7,2022-01-14,55.24299621582031,10327.775474278324
BUY,2022-01-18,53.52190017700195,10327.775474278324
SELL día 7,2022-01-27,50.235313415527344,9693.584049142217
BUY,2022-02-03,53.80534744262695,9693.584049142217
SELL +2% D3,2022-02-08,55.599632263183594,10016.842824391502
BUY,2022-02-10,54.77891159057617,10016.842824391502
SELL día 7,2022-02-22,53.49132537841797,9781.39549008811
BUY,2022-03-07,52.865135192871094,9781.39549008811
SELL +2% D2,2022-03-09,55.30321502685547,10232.50231135328
BUY,2022-04-05,57.271907806396484,10232.50231135328
SELL día 7,2022-04-14,53.516380310058594,9561.51988282073
BUY,2022-04-26,52.23127746582031,9561.51988282073
SELL +2% D2,2022-04-28,53.99106979370117,9883.669563032538
BUY,2022-04-29,51.701568603515625,9883.669563032538
SELL +2% D1,2022-05-02,53.749534606933594,10275.174498005268
BUY,2022-05-05,54.088993072509766,10275.174498005268
SELL +1% D6,2022-05-13,54.858375549316406,10421.332500878383
BUY,2022-05-18,53.210487365722656,10421.332500878383
SELL +0% D7,2022-05-27,54.39580535888672,10653.478334107378
BUY,2022-06-13,48.272464752197266,10653.478334107378
SELL día 7,2022-06-23,46.69422149658203,10305.168372808319
BUY,2022-07-11,45.404117584228516,10305.168372808319
SELL +2% D4,2022-07-15,46.49488067626953,10552.733966335725
BUY,2022-08-22,49.71923065185547,10552.733966335725
SELL +2% D3,2022-08-25,51.7296257019043,10979.433330993164
BUY,2022-08-26,48.97731399536133,10979.433330993164
SELL día 7,2022-09-07,47.49819564819336,10647.853667745041
BUY,2022-09-13,47.35903549194336,10647.853667745041
SELL día 7,2022-09-22,45.28703308105469,10182.000040423793
BUY,2022-09-29,42.681373596191406,10182.000040423793
SELL +2% D3,2022-10-04,45.50037384033203,10854.496218062177
BUY,2022-10-07,43.662757873535156,10854.496218062177
SELL día 7,2022-10-18,41.230628967285156,10249.87261432203
BUY,2023-05-02,58.96799087524414,10249.87261432203
SELL +2% D3,2023-05-05,60.680198669433594,10547.490211923765
BUY,2023-08-02,86.38578033447266,10547.490211923765
SELL día 7,2023-08-11,80.33110046386719,9808.228768382012
BUY,2023-09-01,84.47081756591797,9808.228768382012
SELL día 7,2023-09-13,82.57424926757812,9588.010990443947
BUY,2023-10-25,82.70276641845703,9588.010990443947
SELL +1% D6,2023-11-02,84.81211853027344,9832.55530385277
BUY,2024-03-05,131.30392456054688,9832.55530385277
SELL +2% D2,2024-03-07,137.58775329589844,10303.113162401718
BUY,2024-03-08,127.97623443603516,10303.113162401718
SELL día 7,2024-03-19,121.06169128417969,9746.436988315001
BUY,2024-04-04,129.3834991455078,9746.436988315001
SELL +2% D5,2024-04-11,135.76280212402344,10226.98879685396
BUY,2024-04-17,125.95911407470703,10226.98879685396
SELL +0% D7,2024-04-26,131.99276733398438,10716.878748367375
BUY,2024-05-01,122.05355834960938,10716.878748367375
SELL +2% D2,2024-05-03,125.51524353027344,11020.831052977228
BUY,2024-06-20,170.34034729003906,11020.831052977228
SELL día 7,2024-07-01,161.64442443847656,10458.214514256582
BUY,2024-07-17,153.66465759277344,10458.214514256582
SELL +2% D1,2024-07-18,158.1372528076172,10762.613462752814
BUY,2024-07-24,149.093505859375,10762.613462752814
SELL +2% D5,2024-07-31,158.29489135742188,11426.833911969856
BUY,2024-08-01,144.83766174316406,11426.833911969856
SELL +0% D7,2024-08-12,146.41387939453125,11551.188151706387
BUY,2024-08-26,157.2506103515625,11551.188151706387
SELL +2% D4,2024-08-30,160.40313720703125,11782.763919707626
BUY,2024-09-03,150.52200317382812,11782.763919707626
SELL +1% D6,2024-09-11,155.92063903808594,12205.365602755628
BUY,2024-09-27,170.68614196777344,12205.365602755628
SELL +2% D5,2024-10-04,174.59031677246094,12484.54398430974
BUY,2024-10-15,173.93798828125,12484.54398430974
SELL +2% D2,2024-10-17,179.423583984375,12878.277184932176
BUY,2024-10-23,171.4966278076172,12878.277184932176
SELL +2% D4,2024-10-29,177.16017150878906,13303.572344172788
BUY,2024-10-31,167.80003356933594,13303.572344172788
SELL +2% D3,2024-11-05,171.8821258544922,13627.210003093314
BUY,2024-11-15,162.92724609375,13627.210003093314
SELL día 7,2024-11-26,162.82839965820312,13618.942502306618
BUY,2024-11-27,157.81723022460938,13618.942502306618
SELL +2% D2,2024-12-02,164.57786560058594,14202.356013831593
BUY,2024-12-10,169.8163604736328,14202.356013831593
SELL +2% D1,2024-12-11,181.07420349121094,15143.890115949502
BUY,2024-12-17,237.44244384765625,15143.890115949502
SELL +1% D6,2024-12-26,243.16270446777344,15508.723786214568
BUY,2025-01-07,226.5924072265625,15508.723786214568
SELL +0% D7,2025-01-17,235.31362915039062,16105.632674515013
BUY,2025-01-27,200.31985473632812,16105.632674515013
SELL +2% D1,2025-01-28,205.5030059814453,16522.355870326985
BUY,2025-02-21,216.7018280029297,16522.355870326985
SELL día 7,2025-03-04,185.80104064941406,14166.336034069847
BUY,2025-03-06,177.8429412841797,14166.336034069847
SELL +2% D1,2025-03-07,193.21405029296875,15390.743895649646
BUY,2025-03-10,182.7981719970703,15390.743895649646
SELL +2% D1,2025-03-11,188.3876495361328,15861.351541089207
BUY,2025-03-26,178.20217895507812,15861.351541089207
SELL día 7,2025-04-04,145.41860961914062,12943.36411210239
BUY,2025-04-10,171.273681640625,12943.36411210239
SELL +2% D1,2025-04-11,180.85626220703125,13667.531586150153
BUY,2025-06-06,245.45913696289062,13667.531586150153
SELL +2% D3,2025-06-11,251.4035186767578,13998.523643890077
BUY,2025-07-01,263.7824401855469,13998.523643890077
SELL +2% D2,2025-07-03,274.1846923828125,14550.55498164972
BUY,2025-07-22,277.5823669433594,14550.55498164972
SELL +2% D2,2025-07-24,287.665771484375,15079.115688844071
BUY,2025-08-19,293.8433532714844,15079.115688844071
SELL +1% D6,2025-08-27,299.1640319824219,15352.15616749417
BUY,2025-08-29,296.31439208984375,15352.15616749417
SELL +2% D3,2025-09-04,304.9928894042969,15801.792262221103
BUY,2025-09-17,344.9179382324219,15801.792262221103
SELL día 7,2025-09-26,333.8911437988281,15296.619594627193
BUY,2025-10-10,324.0100402832031,15296.619594627193
SELL +2% D1,2025-10-13,356.018798828125,16807.763516988307
BUY,2025-10-14,343.4728088378906,16807.763516988307
SELL +2% D1,2025-10-15,350.6590270996094,17159.419467667765
BUY,2025-11-13,339.33074951171875,17159.419467667765
SELL +2% D4,2025-11-19,353.7431640625,17888.232483212745
BUY,2025-12-01,385.3426818847656,17888.232483212745
SELL +2% D5,2025-12-08,400.3340148925781,18584.154483769136
BUY,2025-12-12,359.24261474609375,18584.154483769136
SELL día 7,2025-12-23,349.32000732421875,18070.843251636357
BUY,2026-01-08,332.4800109863281,18070.843251636357
SELL +2% D1,2026-01-09,344.9700012207031,18749.695057103665
BUY,2026-01-14,339.8900146484375,18749.695057103665
SELL +2% D2,2026-01-16,351.7099914550781,19401.73233726849
BUY,2026-01-20,332.6000061035156,19401.73233726849
SELL día 7,2026-01-29,330.7300109863281,19292.648921544263
BUY,2026-02-03,320.3299865722656,19292.648921544263
SELL +2% D3,2026-02-06,332.9200134277344,20050.91376785011
BUY,2026-02-12,331.1700134277344,20050.91376785011
SELL final,2026-02-19,333.989990234375,20221.651182122754
