Tipo,Fecha,Precio,Capital
BUY,2022-01-10,493.9464111328125,10000.0
SELL día 7,2022-01-20,459.69024658203125,9306.48014078656
BUY,2022-04-22,545.137451171875,9306.48014078656
SELL día 7,2022-05-03,504.36328125,8610.391472104455
BUY,2022-05-05,494.0865173339844,8610.391472104455
SELL día 7,2022-05-16,472.3200378417969,8231.069424604462
BUY,2022-05-18,410.1150817871094,8231.069424604462
SELL +2% D5,2022-05-25,420.3441162109375,8436.367635346453
BUY,2022-07-26,488.93853759765625,8436.367635346453
SELL +2% D1,2022-07-27,498.8523864746094,8607.42568738339
BUY,2022-08-26,508.81207275390625,8607.42568738339
SELL día 7,2022-09-07,506.72637939453125,8572.142620100172
BUY,2022-09-13,488.22308349609375,8572.142620100172
SELL día 7,2022-09-22,466.0937805175781,8183.599866535835
BUY,2022-09-23,446.2222595214844,8183.599866535835
SELL +2% D1,2022-09-26,459.5209655761719,8427.494667326246
BUY,2022-11-02,463.4271545410156,8427.494667326246
SELL +1% D6,2022-11-10,491.8169250488281,8943.76704631139
BUY,2022-12-01,482.9318542480469,8943.76704631139
SELL día 7,2022-12-12,467.4239807128906,8656.565431710802
BUY,2022-12-15,444.6412658691406,8656.565431710802
SELL día 7,2022-12-27,439.4559631347656,8555.614584704721
BUY,2023-11-16,558.7476806640625,8555.614584704721
SELL +2% D5,2023-11-24,571.0897216796875,8744.597465121888
BUY,2024-03-08,717.6771240234375,8744.597465121888
SELL +0% D7,2024-03-19,724.2152709960938,8824.262068506705
BUY,2024-07-11,838.7362060546875,8824.262068506705
SELL +0% D7,2024-07-22,839.5584716796875,8832.91304519347
BUY,2025-03-07,959.053955078125,8832.91304519347
SELL día 7,2025-03-18,893.1550903320312,8225.98270618893
BUY,2025-04-04,911.484619140625,8225.98270618893
SELL +2% D3,2025-04-09,959.9291381835938,8663.185668793854
BUY,2025-04-21,952.5496215820312,8663.185668793854
SELL +2% D1,2025-04-22,973.8926391601562,8857.29474177269
BUY,2025-06-05,1006.6103515625,8857.29474177269
SELL día 7,2025-06-16,980.2702026367188,8625.524362881106
BUY,2025-10-16,923.05126953125,8625.524362881106
SELL +2% D4,2025-10-22,942.0584106445312,8803.13807097403
