Tipo,Fecha,Precio,Capital
BUY,2021-02-25,100.04161834716797,10000.0
SELL +2% D2,2021-03-01,102.70697784423828,10266.425067997288
BUY,2021-03-08,99.62228393554688,10266.425067997288
SELL +2% D3,2021-03-11,104.23939514160156,10742.234539081473
BUY,2021-05-12,109.1875,10742.234539081473
SELL +2% D2,2021-05-14,113.06470489501953,11123.687034452963
BUY,2021-09-28,134.8114013671875,11123.687034452963
SELL +1% D6,2021-10-06,136.5334014892578,11265.774352268369
BUY,2021-10-22,136.53489685058594,11265.774352268369
SELL +2% D3,2021-10-27,145.1210174560547,11974.232772304576
BUY,2021-11-01,142.42091369628906,11974.232772304576
SELL +2% D2,2021-11-03,145.49864196777344,12232.99697888203
BUY,2022-01-05,136.7418212890625,12232.99697888203
SELL +2% D5,2022-01-12,140.36990356445312,12557.567173249765
BUY,2022-02-03,142.01695251464844,12557.567173249765
SELL día 7,2022-02-14,134.50970458984375,11893.753674701056
BUY,2022-02-17,131.5450897216797,11893.753674701056
SELL +1% D6,2022-02-28,134.04420471191406,12119.713139714078
BUY,2022-03-07,125.43077850341797,12119.713139714078
SELL +2% D2,2022-03-09,132.4194793701172,12794.994364420481
BUY,2022-03-14,125.00648498535156,12794.994364420481
SELL +2% D1,2022-03-15,128.2291259765625,13124.846638291923
BUY,2022-04-11,127.85743713378906,13124.846638291923
SELL día 7,2022-04-21,123.87850952148438,12716.400982981952
BUY,2022-04-22,118.73834991455078,12716.400982981952
SELL +2% D1,2022-04-25,122.15105438232422,13081.887942164487
BUY,2022-04-26,117.76023864746094,13081.887942164487
SELL +1% D6,2022-05-04,121.34416198730469,13480.023034820864
BUY,2022-05-05,115.63182830810547,13480.023034820864
SELL día 7,2022-05-16,113.58676147460938,13241.615077196768
BUY,2022-05-18,111.06037139892578,13241.615077196768
SELL +0% D7,2022-05-27,111.47422790527344,13290.958767346736
BUY,2022-06-10,110.32789611816406,13290.958767346736
SELL +0% D7,2022-06-22,110.65145874023438,13329.937644130403
BUY,2022-06-28,111.16754913330078,13329.937644130403
SELL +2% D5,2022-07-06,113.71282196044922,13635.137572865942
BUY,2022-07-11,114.80903625488281,13635.137572865942
SELL día 7,2022-07-20,113.04586029052734,13425.736400071628
BUY,2022-07-22,107.09085845947266,13425.736400071628
SELL +2% D3,2022-07-27,112.21215057373047,14067.78109877774
BUY,2022-08-26,109.5125503540039,14067.78109877774
SELL día 7,2022-09-07,108.62923431396484,13954.311942483413
BUY,2022-09-13,103.5376968383789,13954.311942483413
SELL día 7,2022-09-22,99.3890380859375,13395.175703777528
BUY,2022-10-26,94.21810913085938,13395.175703777528
SELL día 7,2022-11-04,85.93072509765625,12216.941856022704
BUY,2022-12-15,90.17863464355469,12216.941856022704
SELL día 7,2022-12-27,86.73466491699219,11750.370388516862
BUY,2023-02-08,98.62480926513672,11750.370388516862
SELL día 7,2023-02-17,93.64246368408203,11156.763096221921
BUY,2023-06-07,121.58136749267578,11156.763096221921
SELL +1% D6,2023-06-15,124.15193176269531,11392.647731965537
BUY,2023-06-26,117.45255279541016,11392.647731965537
SELL +1% D6,2023-07-05,120.83699035644531,11720.930974739063
BUY,2023-09-20,132.73707580566406,11720.930974739063
SELL día 7,2023-09-29,129.87867736816406,11468.529069838805
BUY,2023-10-25,124.66804504394531,11468.529069838805
SELL +1% D6,2023-11-02,126.53394317626953,11640.177762688485
BUY,2024-01-31,139.04937744140625,11640.177762688485
SELL +2% D3,2024-02-05,142.6025390625,11937.621977471266
BUY,2024-02-26,136.53834533691406,11937.621977471266
SELL día 7,2024-03-06,130.4146270751953,11402.22195102044
BUY,2024-04-29,164.90402221679688,11402.22195102044
SELL +1% D6,2024-05-07,169.9657745361328,11752.214768844395
BUY,2024-07-24,171.53208923339844,11752.214768844395
SELL día 7,2024-08-02,165.6000518798828,11345.791823103527
BUY,2024-08-05,158.23716735839844,11345.791823103527
SELL +2% D4,2024-08-09,162.62905883789062,11660.695630267363
BUY,2024-09-03,156.35919189453125,11660.695630267363
SELL día 7,2024-09-12,153.91014099121094,11478.054387238219
BUY,2024-11-21,166.784912109375,11478.054387238219
SELL +1% D6,2024-12-02,170.62542724609375,11742.356721644592
BUY,2024-12-18,187.66500854492188,11742.356721644592
SELL +2% D3,2024-12-23,193.8707275390625,12130.653755324376
BUY,2025-01-27,191.06173706054688,12130.653755324376
SELL +2% D3,2025-01-30,200.0863800048828,12703.63514085673
BUY,2025-02-05,190.58360290527344,12703.63514085673
SELL día 7,2025-02-14,184.5074005126953,12298.616781141496
BUY,2025-03-10,165.41319274902344,12298.616781141496
SELL día 7,2025-03-19,163.43865966796875,12151.808504957482
BUY,2025-03-26,164.6054229736328,12151.808504957482
SELL día 7,2025-04-04,145.19903564453125,10719.153988866294
BUY,2025-04-10,152.39913940429688,10719.153988866294
SELL +2% D1,2025-04-11,156.70724487304688,11022.169124649314
BUY,2025-05-07,150.96311950683594,11022.169124649314
SELL +2% D3,2025-05-12,158.0236053466797,11537.671647935642
BUY,2025-06-20,166.38226318359375,11537.671647935642
SELL +2% D3,2025-06-25,170.416015625,11817.389631616688
BUY,2025-12-17,296.7200012207031,11817.389631616688
SELL +2% D2,2025-12-19,307.1600036621094,12233.180869475846
