Tipo,Fecha,Precio,Capital
BUY,2021-02-25,252.92324829101562,10000.0
SELL +2% D2,2021-03-01,263.0723571777344,10401.272281425117
BUY,2021-03-08,253.5389404296875,10401.272281425117
SELL +2% D1,2021-03-09,263.89654541015625,10826.186377077327
BUY,2021-05-10,303.8475036621094,10826.186377077327
SELL +2% D4,2021-05-14,313.7484130859375,11178.959032547695
BUY,2021-07-29,355.83441162109375,11178.959032547695
SELL +1% D6,2021-08-06,360.9884033203125,11340.87777952096
BUY,2021-09-22,340.8291931152344,11340.87777952096
SELL +2% D2,2021-09-24,350.5115661621094,11663.052674038321
BUY,2021-09-28,338.28692626953125,11663.052674038321
SELL día 7,2021-10-07,326.9362487792969,11271.717570094199
BUY,2021-10-22,322.3581848144531,11271.717570094199
SELL +1% D6,2021-11-01,327.69097900390625,11458.186388925506
BUY,2021-11-30,322.209228515625,11458.186388925506
SELL +1% D6,2021-12-08,328.2669372558594,11673.606524950761
BUY,2022-01-05,321.9212951660156,11673.606524950761
SELL +2% D1,2022-01-06,330.15374755859375,11972.13418189494
BUY,2022-01-18,315.9430236816406,11972.13418189494
SELL día 7,2022-01-27,292.5961608886719,11087.443737312242
BUY,2022-02-03,236.11068725585938,11087.443737312242
SELL día 7,2022-02-14,216.1898651123047,10151.988433341518
BUY,2022-02-17,206.26918029785156,10151.988433341518
SELL +1% D6,2022-02-28,209.5661163330078,10314.25434454571
BUY,2022-03-01,202.0784149169922,10314.25434454571
SELL +2% D1,2022-03-02,206.66639709472656,10548.428861051263
BUY,2022-03-07,186.16954040527344,10548.428861051263
SELL +2% D2,2022-03-09,197.123046875,11169.058226754432
BUY,2022-03-11,186.30860900878906,11169.058226754432
SELL +2% D2,2022-03-15,190.69790649414062,11432.193244772443
BUY,2022-04-06,221.75100708007812,11432.193244772443
SELL día 7,2022-04-18,209.3079376220703,10790.700894973546
BUY,2022-04-20,199.02972412109375,10790.700894973546
SELL +1% D6,2022-04-28,204.30287170410156,11076.592656088938
BUY,2022-05-05,206.83518981933594,11076.592656088938
SELL día 7,2022-05-16,198.65235900878906,10638.379585376497
BUY,2022-05-18,190.90643310546875,10638.379585376497
SELL +2% D3,2022-05-23,194.86878967285156,10859.18436670694
BUY,2022-05-24,180.0224609375,10859.18436670694
SELL +2% D2,2022-05-26,190.30068969726562,11479.180229913334
BUY,2022-06-03,189.4565887451172,11479.180229913334
SELL +2% D2,2022-06-07,194.2928009033203,11772.20646543159
BUY,2022-06-09,182.72361755371094,11772.20646543159
SELL día 7,2022-06-21,155.9605712890625,10047.962437815791
BUY,2022-06-28,159.5653839111328,10047.962437815791
SELL +2% D1,2022-06-29,162.80276489257812,10251.822960074041
BUY,2022-07-11,161.75013732910156,10251.822960074041
SELL +2% D5,2022-07-18,166.06993103027344,10525.614135647216
BUY,2022-07-22,168.09580993652344,10525.614135647216
SELL día 7,2022-08-02,159.0787811279297,9960.997052537812
BUY,2022-08-19,166.79489135742188,9960.997052537812
SELL día 7,2022-08-30,156.06980895996094,9320.494736909906
BUY,2022-09-02,159.2078857421875,9320.494736909906
SELL +2% D4,2022-09-09,167.97662353515625,9833.842264061015
BUY,2022-09-13,152.0677490234375,9833.842264061015
SELL día 7,2022-09-22,141.8292694091797,9171.745309269518
BUY,2022-09-29,135.46372985839844,9171.745309269518
SELL +2% D3,2022-10-04,139.30686950683594,9431.950000815143
BUY,2022-10-07,132.52426147460938,9431.950000815143
SELL día 7,2022-10-18,131.87876892089844,9386.009329840972
BUY,2022-10-26,128.91946411132812,9386.009329840972
SELL día 7,2022-11-04,90.16020202636719,6564.132912226944
BUY,2022-11-16,112.44454956054688,6564.132912226944
SELL día 7,2022-11-28,108.0254135131836,6306.158679723249
BUY,2022-12-06,113.32837677001953,6306.158679723249
SELL +2% D5,2022-12-13,119.31653594970703,6639.369858271962
BUY,2022-12-15,115.34429168701172,6639.369858271962
SELL +2% D1,2022-12-16,118.60153198242188,6826.86091415514
BUY,2022-12-19,113.68587493896484,6826.86091415514
SELL +2% D1,2022-12-20,116.27775573730469,6982.503906090903
BUY,2023-01-30,146.03988647460938,6982.503906090903
SELL +2% D2,2023-02-01,152.05783081054688,7270.235709002342
BUY,2023-02-08,182.15756225585938,7270.235709002342
SELL día 7,2023-02-17,171.6807403564453,6852.086916568513
BUY,2023-03-17,194.25308227539062,6852.086916568513
SELL +2% D2,2023-03-21,200.7576446533203,7081.528973527123
BUY,2023-06-26,276.5382995605469,7081.528973527123
SELL +2% D1,2023-06-27,285.05877685546875,7299.719390290927
BUY,2023-07-20,300.4214782714844,7299.719390290927
SELL +2% D5,2023-07-27,309.5476989746094,7521.470679879063
BUY,2023-08-17,283.1123352050781,7521.470679879063
SELL +2% D4,2023-08-23,292.1988830566406,7762.873807712893
BUY,2023-09-15,298.2267761230469,7762.873807712893
SELL día 7,2023-09-26,296.88616943359375,7727.977677019026
BUY,2023-10-25,297.45220947265625,7727.977677019026
SELL +2% D5,2023-11-01,309.6867370605469,8045.837666210949
BUY,2024-02-05,456.22308349609375,8045.837666210949
SELL +2% D2,2024-02-07,466.3324890136719,8224.12464606524
BUY,2024-03-11,480.7449035644531,8224.12464606524
SELL +2% D1,2024-03-12,496.8098449707031,8498.948319862173
BUY,2024-04-19,478.2397766113281,8498.948319862173
SELL +2% D2,2024-04-23,493.18133544921875,8764.47942495178
BUY,2024-04-25,438.7832336425781,8764.47942495178
SELL +1% D6,2024-05-03,449.301025390625,8974.567145502138
BUY,2024-07-11,510.1897277832031,8974.567145502138
SELL día 7,2024-07-22,485.0136413574219,8531.703509123417
BUY,2024-07-24,459.01153564453125,8531.703509123417
SELL +2% D5,2024-07-31,472.505126953125,8782.510539836827
BUY,2024-09-06,497.82061767578125,8782.510539836827
SELL +2% D3,2024-09-11,509.3240051269531,8985.45235852932
BUY,2024-10-23,561.4652099609375,8985.45235852932
SELL +2% D3,2024-10-28,575.8780517578125,9216.109398394443
BUY,2024-10-31,565.33984375,9216.109398394443
SELL +2% D5,2024-11-07,589.3646240234375,9607.758785431635
BUY,2024-11-15,551.8931884765625,9607.758785431635
SELL +2% D3,2024-11-20,563.2879638671875,9806.127338719092
BUY,2024-12-18,595.312744140625,9806.127338719092
SELL día 7,2024-12-30,589.3814086914062,9708.425027998934
BUY,2025-03-06,625.9561157226562,9708.425027998934
SELL día 7,2025-03-17,603.5350341796875,9360.679581091266
BUY,2025-03-18,581.0458374023438,9360.679581091266
SELL +2% D3,2025-03-21,594.904541015625,9583.944039043847
BUY,2025-03-28,575.4385986328125,9583.944039043847
SELL día 7,2025-04-08,509.29815673828125,8482.373349589103
BUY,2025-04-10,545.0572509765625,8482.373349589103
SELL día 7,2025-04-22,499.1510925292969,7767.965506564472
BUY,2025-08-01,748.8933715820312,7767.965506564472
SELL +2% D1,2025-08-04,775.214111328125,8040.979805012594
BUY,2025-10-10,704.7252197265625,8040.979805012594
SELL +1% D6,2025-10-20,731.5733032226562,8347.318915849506
BUY,2025-10-30,665.9268798828125,8347.318915849506
SELL día 7,2025-11-10,631.2451782226562,7912.587666748079
BUY,2026-02-04,668.989990234375,7912.587666748079
SELL día 7,2026-02-13,639.77001953125,7566.983721721507
