Tipo,Fecha,Precio,Capital
BUY,2021-09-28,273.20458984375,10000.0
SELL +1% D6,2021-10-06,282.44561767578125,10338.245702142718
BUY,2021-12-14,316.9726867675781,10338.245702142718
SELL +1% D6,2021-12-22,321.6644592285156,10491.270547830085
BUY,2022-01-05,305.4267272949219,10491.270547830085
SELL día 7,2022-01-14,299.4607849121094,10286.343113465724
BUY,2022-02-03,290.820556640625,10286.343113465724
SELL +2% D4,2022-02-09,300.4358215332031,10626.43569479635
BUY,2022-03-07,269.8107604980469,10626.43569479635
SELL +2% D2,2022-03-09,279.0878601074219,10991.812161810747
BUY,2022-04-06,289.7289733886719,10991.812161810747
SELL día 7,2022-04-18,271.3681945800781,10295.236222414178
BUY,2022-04-26,261.4041748046875,10295.236222414178
SELL +2% D1,2022-04-27,273.98016357421875,10790.533496107262
BUY,2022-04-29,268.4660949707031,10790.533496107262
SELL +2% D1,2022-05-02,275.1893005371094,11060.761194221017
BUY,2022-05-05,268.3016052246094,11060.761194221017
SELL día 7,2022-05-16,252.96871948242188,10428.661406854346
BUY,2022-05-18,246.3632354736328,10428.661406854346
SELL +2% D3,2022-05-23,252.73373413085938,10698.327346909538
BUY,2022-06-10,245.30638122558594,10698.327346909538
SELL +0% D7,2022-06-22,245.44212341308594,10704.247349273135
BUY,2022-06-28,248.69036865234375,10704.247349273135
SELL +2% D4,2022-07-05,254.866943359375,10970.102371297542
BUY,2022-07-12,245.9656982421875,10970.102371297542
SELL +2% D5,2022-07-19,251.64772033691406,11223.521301256425
BUY,2022-08-26,260.49951171875,11223.521301256425
SELL día 7,2022-09-07,250.78265380859375,10804.87421429503
BUY,2022-09-13,244.85537719726562,10804.87421429503
SELL día 7,2022-09-22,234.1571044921875,10332.785374704352
BUY,2022-10-07,227.60797119140625,10332.785374704352
SELL +1% D6,2022-10-17,230.8047637939453,10477.911099768264
BUY,2022-10-26,224.77061462402344,10477.911099768264
SELL día 7,2022-11-04,215.12173461914062,10028.11873223568
BUY,2022-12-15,242.64161682128906,10028.11873223568
SELL día 7,2022-12-27,230.89981079101562,9542.84243649954
BUY,2023-01-04,223.2408447265625,9542.84243649954
SELL +2% D5,2023-01-11,229.74024963378906,9820.67150956475
BUY,2023-06-07,316.5894470214844,9820.67150956475
SELL +2% D3,2023-06-12,324.881591796875,10077.895591779148
BUY,2023-07-26,330.6772766113281,10077.895591779148
SELL día 7,2023-08-04,320.8970642089844,9779.82866542033
BUY,2023-10-26,321.6844482421875,9779.82866542033
SELL +2% D2,2023-10-30,330.9261474609375,10060.794175038865
BUY,2024-04-30,383.444580078125,10060.794175038865
SELL +2% D2,2024-05-02,391.8259582519531,10280.704235295467
BUY,2024-05-30,409.13824462890625,10280.704235295467
SELL +2% D4,2024-06-05,418.3536071777344,10512.265127070448
BUY,2024-07-24,423.17840576171875,10512.265127070448
SELL día 7,2024-08-02,403.0406494140625,10012.018822181943
BUY,2024-08-05,389.87860107421875,10012.018822181943
SELL +2% D4,2024-08-09,400.6036071777344,10287.435227905562
BUY,2024-10-31,401.65185546875,10287.435227905562
SELL +2% D4,2024-11-06,415.3219299316406,10637.564335198022
BUY,2024-12-18,433.1983642578125,10637.564335198022
SELL día 7,2024-12-30,420.7586975097656,10332.097449219618
BUY,2025-01-30,411.01300048828125,10332.097449219618
SELL día 7,2025-02-10,408.26953125,10263.131768121493
BUY,2025-03-10,377.2717590332031,10263.131768121493
SELL +2% D4,2025-03-14,385.60791015625,10489.90468543194
BUY,2025-03-28,375.92205810546875,10489.90468543194
SELL día 7,2025-04-08,351.8662414550781,9818.639942244066
BUY,2025-04-16,368.7867126464844,9818.639942244066
SELL +2% D5,2025-04-24,384.3575134277344,10233.199581300423
BUY,2026-01-29,432.5128173828125,10233.199581300423
SELL día 7,2026-02-09,412.65814208984375,9763.44042797796
