Tipo,Fecha,Precio,Capital
BUY,2021-03-03,52.06999969482422,10000.0
SELL día 7,2021-03-12,51.801998138427734,9948.530524684616
BUY,2021-03-18,50.479000091552734,9948.530524684616
SELL +2% D2,2021-03-22,52.31100082397461,10309.58591751506
BUY,2021-03-25,50.2859992980957,10309.58591751506
SELL +2% D2,2021-03-29,51.39500045776367,10536.952240106044
BUY,2021-04-21,50.88999938964844,10536.952240106044
SELL +0% D7,2021-04-30,51.34700012207031,10631.57583902482
BUY,2021-05-10,48.66899871826172,10631.57583902482
SELL +0% D7,2021-05-19,48.77000045776367,10653.639322590703
BUY,2021-07-21,51.362998962402344,10653.639322590703
SELL +0% D7,2021-07-30,51.75699996948242,10735.362444428687
BUY,2021-11-05,64.5719985961914,10735.362444428687
SELL +2% D5,2021-11-12,68.26100158691406,11348.67448408925
BUY,2021-11-30,64.19000244140625,11348.67448408925
SELL día 7,2021-12-09,61.099998474121094,10802.367460479556
BUY,2022-01-05,56.75199890136719,10802.367460479556
SELL día 7,2022-01-14,52.569000244140625,10006.161345156888
BUY,2022-01-21,39.75,10006.161345156888
SELL +1% D6,2022-01-31,42.7140007019043,10752.281326299346
BUY,2022-02-02,42.948001861572266,10752.281326299346
SELL día 7,2022-02-11,39.13100051879883,9796.672904919345
BUY,2022-02-22,37.737998962402344,9796.672904919345
SELL +2% D2,2022-02-24,39.00299835205078,10125.063004713855
BUY,2022-03-03,36.80699920654297,10125.063004713855
SELL día 7,2022-03-14,33.10100173950195,9105.597722077342
BUY,2022-04-06,36.834999084472656,9105.597722077342
SELL día 7,2022-04-18,33.7859992980957,8351.88613799992
BUY,2022-04-20,22.618999481201172,8351.88613799992
SELL día 7,2022-04-29,19.035999298095703,7028.89174178003
BUY,2022-05-05,18.832000732421875,7028.89174178003
SELL día 7,2022-05-16,18.650999069213867,6961.334337027975
BUY,2022-05-18,17.7189998626709,6961.334337027975
SELL +2% D1,2022-05-19,18.347999572753906,7208.451968593974
BUY,2022-05-24,18.034000396728516,7208.451968593974
SELL +2% D1,2022-05-25,18.783000946044922,7507.838370136764
BUY,2022-06-09,19.277000427246094,7507.838370136764
SELL día 7,2022-06-21,17.090999603271484,6656.453792679876
BUY,2022-06-28,17.959999084472656,6656.453792679876
SELL +2% D4,2022-07-05,18.58799934387207,6889.207407466929
BUY,2022-07-11,17.733999252319336,6889.207407466929
SELL +2% D4,2022-07-15,18.910999298095703,7346.441972472957
BUY,2022-08-22,22.65399932861328,7346.441972472957
SELL +2% D3,2022-08-25,23.398000717163086,7587.713411971805
BUY,2022-08-26,22.327999114990234,7587.713411971805
SELL +2% D4,2022-09-01,23.003999710083008,7817.4383754792925
BUY,2022-09-06,21.839000701904297,7817.4383754792925
SELL +2% D1,2022-09-07,22.895999908447266,8195.79937618935
BUY,2022-09-13,21.812999725341797,8195.79937618935
SELL +2% D1,2022-09-14,22.41200065612793,8420.862023082906
BUY,2022-09-23,22.641000747680664,8420.862023082906
SELL +2% D3,2022-09-28,24.520000457763672,9119.717938347281
BUY,2022-10-07,22.475000381469727,9119.717938347281
SELL +2% D1,2022-10-10,22.99799919128418,9331.93602718574
BUY,2022-10-11,21.429000854492188,9331.93602718574
SELL +2% D1,2022-10-12,22.086999893188477,9618.48251513253
BUY,2022-11-02,27.299999237060547,9618.48251513253
SELL +0% D7,2022-11-11,29.01300048828125,10222.016326258032
BUY,2022-11-17,29.527999877929688,10222.016326258032
SELL día 7,2022-11-29,28.09600067138672,9726.28619455305
BUY,2022-12-15,29.041000366210938,9726.28619455305
SELL +2% D4,2022-12-21,29.79599952697754,9979.14724691567
BUY,2022-12-27,28.41699981689453,9979.14724691567
SELL +2% D2,2022-12-29,29.11199951171875,10223.20905273266
BUY,2023-01-19,31.577999114990234,10223.20905273266
SELL +2% D1,2023-01-20,34.25,11088.25511018138
BUY,2023-02-10,34.736000061035156,11088.25511018138
SELL +2% D1,2023-02-13,35.856998443603516,11446.094700870519
BUY,2023-02-21,33.75,11446.094700870519
SELL día 7,2023-03-02,31.187999725341797,10577.208841095879
BUY,2023-03-09,29.777999877929688,10577.208841095879
SELL +2% D4,2023-03-15,30.378999710083008,10790.685258726624
BUY,2023-03-22,29.389999389648438,10790.685258726624
SELL +2% D1,2023-03-23,32.0369987487793,11762.54431138426
BUY,2023-04-19,32.3120002746582,11762.54431138426
SELL +0% D7,2023-04-28,32.99300003051758,12010.448796908175
