Tipo,Fecha,Precio,Capital
BUY,2025-03-06,149.4258575439453,500.0
SELL +0% D7,2025-03-17,152.4650421142578,510.1695403334684
BUY,2025-04-03,135.85337829589844,510.1695403334684
SELL día 7,2025-04-14,133.76815795898438,502.33892239726674
BUY,2025-08-19,233.59605407714844,502.33892239726674
SELL +0% D7,2025-08-28,239.2711944580078,514.5430836132459
BUY,2025-08-29,225.14312744140625,514.5430836132459
SELL +2% D5,2025-09-08,237.43922424316406,542.6446367749342
BUY,2025-09-11,306.51641845703125,542.6446367749342
SELL +0% D7,2025-09-22,326.7178649902344,578.4084848308418
BUY,2025-09-25,290.05853271484375,578.4084848308418
SELL +0% D7,2025-10-06,290.31744384765625,578.9247819886405
BUY,2025-10-17,290.5419921875,578.9247819886405
SELL día 7,2025-10-28,280.089599609375,558.0976752114362
BUY,2025-10-30,256.2127380371094,558.0976752114362
SELL día 7,2025-11-10,240.195068359375,523.2070437856345
BUY,2025-11-20,210.13453674316406,523.2070437856345
SELL día 7,2025-12-02,200.56982421875,499.39218192561276
BUY,2025-12-11,198.32574462890625,499.39218192561276
SELL día 7,2025-12-22,197.85699462890625,498.2118506190764
BUY,2026-01-20,179.9199981689453,498.2118506190764
SELL día 7,2026-01-29,169.00999450683594,468.00123940254855
BUY,2026-02-04,146.6699981689453,468.00123940254855
SELL +3% D3,2026-02-09,156.58999633789062,499.6544165750863
BUY,2026-02-20,148.0800018310547,499.6544165750863
SELL final,2026-02-25,147.88999938964844,499.01330664913564
