Tipo,Fecha,Precio,Capital
BUY,2025-02-25,302.79998779296875,10000.0
SELL cierre,2025-03-07,262.6700134277344,8674.703567271206
BUY,2025-03-06,263.45001220703125,8674.703567271206
SELL cierre,2025-03-18,225.30999755859375,7418.854997157735
BUY,2025-03-10,222.14999389648438,7418.854997157735
SELL +2%,2025-03-11,230.5800018310547,7700.381030062371
BUY,2025-03-18,225.30999755859375,7700.381030062371
SELL +2%,2025-03-19,235.86000061035156,8060.94666961296
BUY,2025-03-26,272.05999755859375,8060.94666961296
SELL cierre,2025-04-07,233.2899932861328,6912.218669813335
BUY,2025-04-03,267.2799987792969,6912.218669813335
SELL cierre,2025-04-15,254.11000061035156,6571.624881873515
BUY,2025-04-10,252.39999389648438,6571.624881873515
SELL cierre,2025-04-23,250.74000549316406,6528.40451198969
BUY,2025-04-21,227.5,6528.40451198969
SELL +2%,2025-04-22,237.97000122070312,6828.854635988705
BUY,2025-06-05,284.70001220703125,6828.854635988705
SELL +2%,2025-06-06,295.1400146484375,7079.270006606556
BUY,2025-07-01,300.7099914550781,7079.270006606556
SELL +2%,2025-07-02,315.6499938964844,7430.985327638302
BUY,2025-07-07,293.94000244140625,7430.985327638302
SELL cierre,2025-07-17,319.4100036621094,8074.882734571552
BUY,2025-07-24,305.29998779296875,8074.882734571552
SELL +2%,2025-07-25,316.05999755859375,8359.474351192204
BUY,2025-10-02,436.0,8359.474351192204
SELL cierre,2025-10-14,429.239990234375,8229.863965298739
BUY,2025-10-10,413.489990234375,8229.863965298739
SELL +2%,2025-10-13,435.8999938964844,8675.899627483614
BUY,2025-11-04,444.260009765625,8675.899627483614
SELL +2%,2025-11-05,462.07000732421875,9023.708900853966
BUY,2025-11-13,401.989990234375,9023.708900853966
SELL cierre,2025-11-25,419.3999938964844,9414.521629594003
