Tipo,Fecha,Precio,Capital
BUY,2021-02-25,227.4066619873047,10000.0
SELL +2% D2,2021-03-01,239.47666931152344,10530.767534193548
BUY,2021-03-02,228.81333923339844,10530.767534193548
SELL +0% D7,2021-03-11,233.1999969482422,10732.656431064092
BUY,2021-03-16,225.6266632080078,10732.656431064092
SELL +2% D1,2021-03-17,233.93666076660156,11127.948137599433
BUY,2021-03-18,217.72000122070312,11127.948137599433
SELL +2% D2,2021-03-22,223.3333282470703,11414.852471967311
BUY,2021-03-24,210.08999633789062,11414.852471967311
SELL +2% D5,2021-03-31,222.64332580566406,12096.914475891437
BUY,2021-04-14,244.07666015625,12096.914475891437
SELL día 7,2021-04-23,243.13333129882812,12050.161261128635
BUY,2021-04-27,234.913330078125,12050.161261128635
SELL día 7,2021-05-06,221.17999267578125,11345.693233296008
BUY,2021-05-10,209.67999267578125,11345.693233296008
SELL día 7,2021-05-19,187.82000732421875,10162.85893080407
BUY,2021-06-02,201.7066650390625,10162.85893080407
SELL +0% D7,2021-06-11,203.29666137695312,10242.969860600804
BUY,2021-08-16,228.72332763671875,10242.969860600804
SELL +2% D5,2021-08-23,235.43333435058594,10543.46564843638
BUY,2021-09-20,243.38999938964844,10543.46564843638
SELL +2% D2,2021-09-22,250.64666748046875,10857.81887136885
BUY,2021-11-02,390.6666564941406,10857.81887136885
SELL +2% D1,2021-11-03,404.6199951171875,11245.62474346326
BUY,2021-11-08,387.64666748046875,11245.62474346326
SELL día 7,2021-11-17,363.0033264160156,10530.72174213672
BUY,2021-11-23,369.6766662597656,10530.72174213672
SELL +2% D3,2021-11-29,378.9966735839844,10796.214300157837
BUY,2021-12-01,365.0,10796.214300157837
SELL día 7,2021-12-10,339.010009765625,10027.464973502161
BUY,2021-12-13,322.13665771484375,10027.464973502161
SELL +0% D7,2021-12-22,336.2900085449219,10468.030262510425
BUY,2022-01-04,383.1966552734375,10468.030262510425
SELL día 7,2022-01-13,343.85333251953125,9393.263331359305
