Ticker,Capital_Total_Invertido,Beneficio_Total,Retorno_Medio_%,Numero_Operaciones,Rentabilidad_%
AMAT,269899.3889819876,8595.049589343711,3.4718522308582793,16,3.1845383651154995
AMD,367860.57211261714,5870.305981958463,1.4984586855769082,22,1.5957964584911597
CAT,129182.37943986914,1296.4318932098458,0.7444598585645654,8,1.0035671264387103
COF,182722.59113403203,2650.4982772939347,2.1731746477293954,11,1.4505586095534961
COIN,212151.87918513836,5582.9484286025745,1.5331806865237787,11,2.6315809457103647
CRWD,319881.8290760759,3048.045096601538,0.47395627500581516,21,0.9528659709759993
CVNA,142160.4923787997,7340.831354290436,5.398693496451116,9,5.163763315288833
DDOG,164716.59349084756,-3533.6217545842487,-1.730335935403966,12,-2.145273696897206
DE,65031.4586513252,1394.9952355998275,2.0437263976925957,5,2.1451083283850045
DVN,151447.05002184233,-1185.9475013130732,-0.9222903269336542,11,-0.7830773205169932
FANG,168481.71100639715,-83.56086228508866,-0.14718646838992133,12,-0.049596399387180905
GS,79693.83286194861,-713.6020670145845,0.27772220932532926,7,-0.8954294722538158
HAL,139071.32864663008,-2362.5220547278386,-1.403871123134763,11,-1.6987844135226693
KLAC,211589.8355968745,2223.818746460747,0.6584931372821439,17,1.051004524951574
LCID,548928.3071727358,847.010546967027,0.2592998443982173,34,0.1543025812113004
LRCX,213137.8637188458,3325.8762428369355,2.2934381530788057,16,1.560434258280904
MRVL,128191.62747649907,4370.720793911018,2.988527202430248,10,3.4095212612167565
MS,65432.5171882854,-251.39656031497907,1.3015947204743656,7,-0.38420738054685055
MU,217509.10144560243,295.13988441236415,0.9703781694654696,18,0.13569082049937883
NET,223194.70576979162,1989.2507085621542,1.1294579446186481,20,0.8912624973344642
NVDA,97110.70692895343,240.38033093977901,1.2748599664233333,11,0.24753226347702545
OKTA,227734.1108749144,-1299.7955112632085,-0.5892167700840981,17,-0.5707513495758816
ON,195985.92143203734,4319.423380353659,2.3158959761251374,17,2.2039457471191466
OXY,130232.17667474784,1329.2224110967263,0.5190290797575663,13,1.020655912414358
PLTR,279467.0563822922,7480.792935424387,3.195360944429345,27,2.6768067164206877
RIVN,373572.8811414205,2962.4850646467357,1.2243306404286955,29,0.7930139510114096
SLB,89340.37196147168,-413.23166927553984,-0.7861569844073456,10,-0.4625363205939498
SNOW,188502.17291738282,1202.7379229906671,0.5685479133136524,22,0.6380498985111466
TSLA,362549.1419946926,5059.065820388126,1.4783495966292768,28,1.395415196007328
TTD,310347.7439313558,315.90374040564416,-0.29105218969867813,28,0.10179024870743615
UPST,431133.6781266341,102.30390698384826,1.238173610745015,35,0.023729045577784623
URI,88638.16945687072,2043.4315872833572,2.6370563571991856,12,2.3053630279195283
VST,222098.08479478193,4295.29005208757,3.1002257535573277,23,1.9339608696114636
ZS,143007.23995254602,-27.995217471485148,1.0582974813971433,17,-0.019576084036566806
