Ticker,Capital_Total_Invertido,Beneficio_Total,Retorno_Medio_%,Numero_Operaciones,Rentabilidad_%
AMAT,107690.58326540617,-3635.521597224385,-1.5298650188542386,7,-3.3758955397841515
AMD,671117.9021935875,416.6544640554439,0.45691217158860153,42,0.062083646210834904
CAT,797528.1324542931,-1668.6448539627258,-0.12419171344940162,81,-0.20922708379297916
COF,424273.6222775365,697.6851123406022,-0.1750854621913092,40,0.1644422551171977
COIN,227296.11547633747,-1077.6257717966637,-0.938019686119728,15,-0.4741065501882056
CRWD,1396742.0445046758,-6725.239431851185,0.11579712508908237,159,-0.4814947368636093
CVNA,1566004.6053431588,7103.565358024905,0.28617117960503424,125,0.45361075783479576
DDOG,1173385.3638566993,9243.139120546326,1.1585620868384001,137,0.7877326073137514
DE,666903.4918074209,4004.470856315973,0.30717041621014446,76,0.6004573233622127
DVN,281962.66466117813,270.3964599408464,-0.2593258830866702,19,0.09589796587635803
FANG,1200001.2901664102,2435.9045487740786,0.11698964994724398,98,0.20299182748680875
GS,285111.24933634023,615.9172251800783,-0.032637899497600015,32,0.21602698126214326
HAL,824459.4724040986,-8205.689595847252,-0.8379623554705801,76,-0.9952811351563118
KLAC,1119122.9249063565,8598.156038429028,0.9722822948015961,143,0.7682941567074488
LCID,656565.183489463,-381.92206861554814,-0.5245596450594513,59,-0.05816971082531938
LRCX,266307.8946653643,-455.03322671828573,0.31440916376358147,20,-0.1708673440905944
MRVL,236090.3655264626,-929.9821509768972,0.05848168272210623,20,-0.39390940367393285
MS,447464.77258283773,-693.4397973240543,0.16816376486349716,72,-0.15497081330479037
MU,1089110.0588156993,6388.975771235015,0.4209477654789947,112,0.5866235206919677
NET,185971.95590347244,6139.703050803238,2.6645338669737293,21,3.3014133883659382
NVDA,304191.25549244985,566.240701547179,0.26012782687975416,26,0.18614627847552748
OKTA,1049390.0083352488,3888.8380164484615,0.8547046874364256,101,0.37058081223945616
ON,1240541.936692332,9057.123037969986,0.7864445769078937,178,0.7300940637379075
OXY,793268.2046350715,3920.3913682070424,-0.04758493743394948,84,0.49420755115359083
PLTR,358478.1766367351,-1406.2328028897673,-0.05251264088518654,33,-0.3922784968622448
RIVN,205789.12294148759,-6402.562113169961,-1.9296751654765132,29,-3.111224743880372
SLB,693133.1329294266,1892.8450700119247,0.26674645286056137,86,0.27308535403755546
SNOW,428877.83646192413,3922.4207379604954,0.7685790722564765,58,0.9145776266544678
TSLA,1463887.678281141,297.91667306060253,-0.0005302715559405287,177,0.020351060909974225
TTD,95477.67654466516,-166.68343185606136,-1.6961462886809866,6,-0.17457843329281858
UPST,585820.8515567811,-224.46659269169504,-0.6063178514283034,63,-0.038316593220468265
URI,794228.9311150047,4814.092500411737,0.6342761235330024,118,0.606134114713413
VST,365982.5544994815,2746.164286114358,0.010824299155051459,42,0.7503538768043242
ZS,923488.8769348187,7418.77820225946,0.9013029171528237,105,0.8033424535532429
