Ticker,Caida_%,Dias_salida,Fecha_inicio,Fecha_final,Precio_compra,Precio_venta,Capital_aportado,Capital_liquidado,Rentabilidad_operacion_%
AAPL,3,1,2025-03-10,2025-03-11,226.4928,219.8817,10000.0,9708.11,-2.9189
AAPL,3,1,2025-03-13,2025-03-14,208.7701,212.5636,9708.11,9884.51,1.8171
AAPL,3,1,2025-04-03,2025-04-04,202.3082,187.5625,9884.51,9164.05,-7.2887
AAPL,3,1,2025-04-07,2025-04-08,180.6726,171.6718,9164.05,8707.52,-4.9818
AAPL,3,1,2025-04-10,2025-04-11,189.5937,197.2901,8707.52,9060.99,4.0594
AAPL,3,1,2025-04-16,2025-04-17,193.427,196.1252,9060.99,9187.39,1.395
AAPL,3,1,2025-05-02,2025-05-05,204.4589,198.0269,9187.39,8898.37,-3.1458
AAPL,3,1,2025-05-23,2025-05-27,194.6776,199.6026,8898.37,9123.48,2.5298
AAPL,3,1,2025-09-10,2025-09-11,226.3586,229.5924,9123.48,9253.82,1.4286
AAPL,3,1,2025-10-10,2025-10-13,244.8034,247.1889,9253.82,9344.0,0.9744
AAPL,3,1,2026-01-20,2026-01-21,246.4694,247.4185,9344.0,9379.98,0.3851
AAPL,3,1,2026-02-12,2026-02-13,261.73,255.78,9379.98,9166.74,-2.2733
AAPL,3,2,2025-03-10,2025-03-12,226.4928,216.0384,10000.0,9538.42,-4.6158
AAPL,3,2,2025-03-13,2025-03-17,208.7701,213.0713,9538.42,9734.94,2.0603
AAPL,3,2,2025-04-03,2025-04-07,202.3082,180.6726,9734.94,8693.84,-10.6944
AAPL,3,2,2025-04-08,2025-04-10,171.6718,189.5937,8693.84,9601.45,10.4396
AAPL,3,2,2025-04-16,2025-04-21,193.427,192.3218,9601.45,9546.59,-0.5714
AAPL,3,2,2025-05-02,2025-05-06,204.4589,197.6486,9546.59,9228.6,-3.3309
AAPL,3,2,2025-05-23,2025-05-28,194.6776,199.812,9228.6,9471.99,2.6374
AAPL,3,2,2025-09-10,2025-09-12,226.3586,233.6247,9471.99,9776.05,3.21
AAPL,3,2,2025-10-10,2025-10-14,244.8034,247.2986,9776.05,9875.69,1.0193
AAPL,3,2,2026-01-20,2026-01-22,246.4694,248.1178,9875.69,9941.74,0.6688
AAPL,3,2,2026-02-12,2026-02-17,261.73,263.88,9941.74,10023.41,0.8215
AAPL,3,3,2025-03-10,2025-03-13,226.4928,208.7701,10000.0,9217.51,-7.8249
AAPL,3,3,2025-04-03,2025-04-08,202.3082,171.6718,9217.51,7821.66,-15.1435
AAPL,3,3,2025-04-10,2025-04-15,189.5937,201.2628,7821.66,8303.07,6.1548
AAPL,3,3,2025-04-16,2025-04-22,193.427,198.8732,8303.07,8536.86,2.8157
AAPL,3,3,2025-05-02,2025-05-07,204.4589,195.3984,8536.86,8158.55,-4.4315
AAPL,3,3,2025-05-23,2025-05-29,194.6776,199.3434,8158.55,8354.09,2.3967
AAPL,3,3,2025-09-10,2025-09-15,226.3586,236.2497,8354.09,8719.13,4.3697
AAPL,3,3,2025-10-10,2025-10-15,244.8034,248.8657,8719.13,8863.82,1.6594
AAPL,3,3,2026-01-20,2026-01-23,246.4694,247.8081,8863.82,8911.96,0.5432
AAPL,3,3,2026-02-12,2026-02-18,261.73,264.35,8911.96,9001.18,1.001
AAPL,3,4,2025-03-10,2025-03-14,226.4928,212.5636,10000.0,9385.0,-6.15
AAPL,3,4,2025-04-03,2025-04-09,202.3082,197.9871,9385.0,9184.55,-2.1359
AAPL,3,4,2025-04-10,2025-04-16,189.5937,193.427,9184.55,9370.24,2.0218
AAPL,3,4,2025-05-02,2025-05-08,204.4589,196.633,9370.24,9011.59,-3.8276
AAPL,3,4,2025-05-23,2025-05-30,194.6776,200.2407,9011.59,9269.1,2.8576
AAPL,3,4,2025-09-10,2025-09-16,226.3586,237.6969,9269.1,9733.39,5.009
AAPL,3,4,2025-10-10,2025-10-16,244.8034,246.9793,9733.39,9819.9,0.8888
AAPL,3,4,2026-01-20,2026-01-26,246.4694,255.1712,9819.9,10166.61,3.5306
AAPL,3,4,2026-02-12,2026-02-19,261.73,263.69,10166.61,10242.74,0.7489
AAPL,3,5,2025-03-10,2025-03-17,226.4928,213.0713,10000.0,9407.42,-5.9258
AAPL,3,5,2025-04-03,2025-04-10,202.3082,189.5937,9407.42,8816.19,-6.2848
AAPL,3,5,2025-04-16,2025-04-24,193.427,207.4658,8816.19,9456.06,7.258
AAPL,3,5,2025-05-02,2025-05-09,204.4589,197.6685,9456.06,9142.01,-3.3212
AAPL,3,5,2025-05-23,2025-06-02,194.6776,201.0881,9142.01,9443.05,3.2929
AAPL,3,5,2025-09-10,2025-09-17,226.3586,238.5354,9443.05,9951.03,5.3794
AAPL,3,5,2025-10-10,2025-10-17,244.8034,251.81,9951.03,10235.84,2.8621
AAPL,3,5,2026-01-20,2026-01-27,246.4694,258.0285,10235.84,10715.89,4.6899
AAPL,3,6,2025-03-10,2025-03-18,226.4928,211.767,10000.0,9349.83,-6.5017
AAPL,3,6,2025-04-03,2025-04-11,202.3082,197.2901,9349.83,9117.92,-2.4804
AAPL,3,6,2025-04-16,2025-04-25,193.427,208.3718,9117.92,9822.4,7.7264
AAPL,3,6,2025-05-02,2025-05-12,204.4589,210.1505,9822.4,10095.83,2.7837
AAPL,3,6,2025-05-23,2025-06-03,194.6776,202.6533,10095.83,10509.45,4.0969
AAPL,3,6,2025-09-10,2025-09-18,226.3586,237.4275,10509.45,11023.36,4.89
AAPL,3,6,2025-10-10,2025-10-20,244.8034,261.7411,11023.36,11786.05,6.9189
AAPL,3,6,2026-01-20,2026-01-28,246.4694,256.2003,11786.05,12251.38,3.9481
AAPL,3,7,2025-03-10,2025-03-19,226.4928,214.306,10000.0,9461.93,-5.3807
AAPL,3,7,2025-04-03,2025-04-14,202.3082,201.6412,9461.93,9430.73,-0.3297
AAPL,3,7,2025-04-16,2025-04-28,193.427,209.2281,9430.73,10201.13,8.1691
AAPL,3,7,2025-05-02,2025-05-13,204.4589,212.284,10201.13,10591.55,3.8272
AAPL,3,7,2025-05-23,2025-06-04,194.6776,202.2047,10591.55,11001.07,3.8664
AAPL,3,7,2025-09-10,2025-09-19,226.3586,245.033,11001.07,11908.65,8.2499
AAPL,3,7,2025-10-10,2025-10-21,244.8034,262.2701,11908.65,12758.33,7.135
AAPL,3,7,2026-01-20,2026-01-29,246.4694,258.0385,12758.33,13357.2,4.694
AAPL,4,1,2025-03-10,2025-03-11,226.4928,219.8817,10000.0,9708.11,-2.9189
AAPL,4,1,2025-04-03,2025-04-04,202.3082,187.5625,9708.11,9000.51,-7.2887
AAPL,4,1,2025-04-08,2025-04-09,171.6718,197.9871,9000.51,10380.18,15.3289
AAPL,4,1,2025-04-10,2025-04-11,189.5937,197.2901,10380.18,10801.56,4.0594
AAPL,4,1,2026-02-12,2026-02-13,261.73,255.78,10801.56,10556.0,-2.2733
AAPL,4,2,2025-03-10,2025-03-12,226.4928,216.0384,10000.0,9538.42,-4.6158
AAPL,4,2,2025-04-03,2025-04-07,202.3082,180.6726,9538.42,8518.34,-10.6944
AAPL,4,2,2025-04-08,2025-04-10,171.6718,189.5937,8518.34,9407.63,10.4396
AAPL,4,2,2026-02-12,2026-02-17,261.73,263.88,9407.63,9484.91,0.8215
AAPL,4,3,2025-03-10,2025-03-13,226.4928,208.7701,10000.0,9217.51,-7.8249
AAPL,4,3,2025-04-03,2025-04-08,202.3082,171.6718,9217.51,7821.66,-15.1435
AAPL,4,3,2025-04-10,2025-04-15,189.5937,201.2628,7821.66,8303.07,6.1548
AAPL,4,3,2026-02-12,2026-02-18,261.73,264.35,8303.07,8386.19,1.001
