Ticker,Caida_%,Dias_salida,Fecha_inicio,Fecha_final,Precio_compra,Precio_venta,Capital_aportado,Capital_liquidado,Rentabilidad_operacion_%
PLTR,3,1,2025-02-20,2025-02-21,106.27,101.35,10000.0,9537.03,-4.6297
PLTR,3,1,2025-02-24,2025-02-25,90.68,87.84,9537.03,9238.34,-3.1319
PLTR,3,1,2025-02-27,2025-02-28,84.77,84.92,9238.34,9254.69,0.177
PLTR,3,1,2025-03-06,2025-03-07,80.46,84.91,9254.69,9766.54,5.5307
PLTR,3,1,2025-03-10,2025-03-11,76.38,78.05,9766.54,9980.08,2.1864
PLTR,3,1,2025-03-13,2025-03-14,79.62,86.24,9980.08,10809.87,8.3145
PLTR,3,1,2025-03-18,2025-03-19,83.89,86.1,10809.87,11094.64,2.6344
PLTR,3,1,2025-03-26,2025-03-27,92.28,90.09,11094.64,10831.34,-2.3732
PLTR,3,1,2025-03-28,2025-03-31,85.85,84.4,10831.34,10648.4,-1.689
PLTR,3,1,2025-04-03,2025-04-04,83.6,74.01,10648.4,9426.89,-11.4713
PLTR,3,1,2025-04-10,2025-04-11,88.59,88.55,9426.89,9422.64,-0.0451
PLTR,3,1,2025-04-16,2025-04-17,92.71,93.78,9422.64,9531.39,1.1541
PLTR,3,1,2025-04-21,2025-04-22,90.8,93.99,9531.39,9866.25,3.5132
PLTR,3,1,2025-05-06,2025-05-07,108.86,110.48,9866.25,10013.07,1.4882
PLTR,3,1,2025-05-21,2025-05-22,120.58,122.29,10013.07,10155.07,1.4181
PLTR,3,1,2025-06-05,2025-06-06,119.91,127.72,10155.07,10816.49,6.5132
PLTR,3,1,2025-06-27,2025-06-30,130.74,136.32,10816.49,11278.14,4.268
PLTR,3,1,2025-07-01,2025-07-02,130.68,132.12,11278.14,11402.42,1.1019
PLTR,3,1,2025-08-19,2025-08-20,157.75,156.01,11402.42,11276.65,-1.103
PLTR,3,1,2025-10-03,2025-10-06,173.07,179.53,11276.65,11697.56,3.7326
PLTR,3,1,2025-10-10,2025-10-13,175.44,177.21,11697.56,11815.58,1.0089
PLTR,3,1,2025-10-22,2025-10-23,175.49,180.48,11815.58,12151.55,2.8435
PLTR,3,1,2025-11-04,2025-11-05,190.74,187.9,12151.55,11970.62,-1.4889
PLTR,3,1,2025-11-06,2025-11-07,175.05,177.93,11970.62,12167.56,1.6452
PLTR,3,1,2025-11-12,2025-11-13,184.17,172.14,12167.56,11372.78,-6.532
PLTR,3,1,2025-11-20,2025-11-21,155.745,154.85,11372.78,11307.42,-0.5747
PLTR,3,1,2025-12-17,2025-12-18,177.29,185.69,11307.42,11843.17,4.738
PLTR,3,1,2026-01-02,2026-01-05,167.86,174.04,11843.17,12279.19,3.6816
PLTR,3,1,2026-01-16,2026-01-20,170.96,168.53,12279.19,12104.66,-1.4214
PLTR,3,1,2026-01-28,2026-01-29,157.35,151.86,12104.66,11682.32,-3.489
PLTR,3,1,2026-01-30,2026-02-02,146.59,147.76,11682.32,11775.56,0.7981
PLTR,3,1,2026-02-04,2026-02-05,139.54,130.01,11775.56,10971.34,-6.8296
PLTR,3,1,2026-02-12,2026-02-13,129.13,131.41,10971.34,11165.06,1.7657
PLTR,3,2,2025-02-20,2025-02-24,106.27,90.68,10000.0,8532.98,-14.6702
PLTR,3,2,2025-02-25,2025-02-27,87.84,84.77,8532.98,8234.76,-3.495
PLTR,3,2,2025-03-06,2025-03-10,80.46,76.38,8234.76,7817.18,-5.0708
PLTR,3,2,2025-03-13,2025-03-17,79.62,87.35,7817.18,8576.12,9.7086
PLTR,3,2,2025-03-18,2025-03-20,83.89,87.39,8576.12,8933.93,4.1721
PLTR,3,2,2025-03-26,2025-03-28,92.28,85.85,8933.93,8311.42,-6.9679
PLTR,3,2,2025-04-03,2025-04-07,83.6,77.84,8311.42,7738.77,-6.89
PLTR,3,2,2025-04-10,2025-04-14,88.59,92.62,7738.77,8090.81,4.5491
PLTR,3,2,2025-04-16,2025-04-21,92.71,90.8,8090.81,7924.12,-2.0602
PLTR,3,2,2025-05-06,2025-05-08,108.86,119.15,7924.12,8673.15,9.4525
PLTR,3,2,2025-05-21,2025-05-23,120.58,123.31,8673.15,8869.52,2.2641
PLTR,3,2,2025-06-05,2025-06-09,119.91,132.06,8869.52,9768.23,10.1326
PLTR,3,2,2025-06-27,2025-07-01,130.74,130.68,9768.23,9763.74,-0.0459
PLTR,3,2,2025-08-19,2025-08-21,157.75,156.18,9763.74,9666.57,-0.9953
PLTR,3,2,2025-10-03,2025-10-07,173.07,182.17,9666.57,10174.84,5.258
PLTR,3,2,2025-10-10,2025-10-14,175.44,179.74,10174.84,10424.22,2.451
PLTR,3,2,2025-10-22,2025-10-24,175.49,184.63,10424.22,10967.14,5.2083
PLTR,3,2,2025-11-04,2025-11-06,190.74,175.05,10967.14,10065.0,-8.2259
PLTR,3,2,2025-11-12,2025-11-14,184.17,174.01,10065.0,9509.75,-5.5166
PLTR,3,2,2025-11-20,2025-11-24,155.745,162.25,9509.75,9906.94,4.1767
PLTR,3,2,2025-12-17,2025-12-19,177.29,193.38,9906.94,10806.05,9.0755
PLTR,3,2,2026-01-02,2026-01-06,167.86,179.71,10806.05,11568.9,7.0595
PLTR,3,2,2026-01-16,2026-01-21,170.96,165.33,11568.9,11187.92,-3.2932
PLTR,3,2,2026-01-28,2026-01-30,157.35,146.59,11187.92,10422.86,-6.8383
PLTR,3,2,2026-02-04,2026-02-06,139.54,135.9,10422.86,10150.97,-2.6086
PLTR,3,2,2026-02-12,2026-02-17,129.13,133.02,10150.97,10456.77,3.0125
PLTR,3,3,2025-02-20,2025-02-25,106.27,87.84,10000.0,8265.74,-17.3426
PLTR,3,3,2025-02-27,2025-03-04,84.77,84.4,8265.74,8229.66,-0.4365
PLTR,3,3,2025-03-06,2025-03-11,80.46,78.05,8229.66,7983.16,-2.9953
PLTR,3,3,2025-03-13,2025-03-18,79.62,83.89,7983.16,8411.29,5.363
PLTR,3,3,2025-03-26,2025-03-31,92.28,84.4,8411.29,7693.04,-8.5392
PLTR,3,3,2025-04-03,2025-04-08,83.6,77.32,7693.04,7115.14,-7.512
PLTR,3,3,2025-04-10,2025-04-15,88.59,98.4,7115.14,7903.03,11.0735
PLTR,3,3,2025-04-16,2025-04-22,92.71,93.99,7903.03,8012.14,1.3806
PLTR,3,3,2025-05-06,2025-05-09,108.86,117.3,8012.14,8633.33,7.7531
PLTR,3,3,2025-05-21,2025-05-27,120.58,123.39,8633.33,8834.52,2.3304
PLTR,3,3,2025-06-05,2025-06-10,119.91,132.81,8834.52,9784.95,10.7581
PLTR,3,3,2025-06-27,2025-07-02,130.74,132.12,9784.95,9888.23,1.0555
PLTR,3,3,2025-08-19,2025-08-22,157.75,158.74,9888.23,9950.29,0.6276
PLTR,3,3,2025-10-03,2025-10-08,173.07,183.56,9950.29,10553.39,6.0611
PLTR,3,3,2025-10-10,2025-10-15,175.44,179.62,10553.39,10804.83,2.3826
PLTR,3,3,2025-10-22,2025-10-27,175.49,189.18,10804.83,11647.71,7.801
PLTR,3,3,2025-11-04,2025-11-07,190.74,177.93,11647.71,10865.46,-6.716
PLTR,3,3,2025-11-12,2025-11-17,184.17,171.25,10865.46,10103.22,-7.0153
PLTR,3,3,2025-11-20,2025-11-25,155.745,163.55,10103.22,10609.53,5.0114
