Ticker,Caida_%,Dias_salida,Fecha_inicio,Fecha_final,Precio_compra,Precio_venta,Capital_aportado,Capital_liquidado,Rentabilidad_operacion_%
TSLA,3,1,2025-02-21,2025-02-24,337.8,330.53,10000.0,9784.78,-2.1522
TSLA,3,1,2025-02-25,2025-02-26,302.8,290.8,9784.78,9397.01,-3.963
TSLA,3,1,2025-02-27,2025-02-28,281.95,292.98,9397.01,9764.63,3.912
TSLA,3,1,2025-03-04,2025-03-05,272.04,279.1,9764.63,10018.04,2.5952
TSLA,3,1,2025-03-06,2025-03-07,263.45,262.67,10018.04,9988.38,-0.2961
TSLA,3,1,2025-03-10,2025-03-11,222.15,230.58,9988.38,10367.41,3.7947
TSLA,3,1,2025-03-17,2025-03-18,238.01,225.31,10367.41,9814.22,-5.3359
TSLA,3,1,2025-03-26,2025-03-27,272.06,273.13,9814.22,9852.81,0.3933
TSLA,3,1,2025-03-28,2025-03-31,263.55,259.16,9852.81,9688.7,-1.6657
TSLA,3,1,2025-04-03,2025-04-04,267.28,239.43,9688.7,8679.15,-10.4198
TSLA,3,1,2025-04-08,2025-04-09,221.86,272.2,8679.15,10648.45,22.69
TSLA,3,1,2025-04-10,2025-04-11,252.4,252.31,10648.45,10644.66,-0.0357
TSLA,3,1,2025-04-16,2025-04-17,241.55,241.37,10644.66,10636.72,-0.0745
TSLA,3,1,2025-04-21,2025-04-22,227.5,237.97,10636.72,11126.25,4.6022
TSLA,3,1,2025-04-30,2025-05-01,282.16,280.52,11126.25,11061.58,-0.5812
TSLA,3,1,2025-05-30,2025-06-02,346.46,342.69,11061.58,10941.21,-1.0881
TSLA,3,1,2025-06-04,2025-06-05,332.05,284.7,10941.21,9381.01,-14.2599
TSLA,3,1,2025-06-17,2025-06-18,316.35,322.05,9381.01,9550.03,1.8018
TSLA,3,1,2025-06-25,2025-06-26,327.55,325.78,9550.03,9498.43,-0.5404
TSLA,3,1,2025-07-01,2025-07-02,300.71,315.65,9498.43,9970.33,4.9682
TSLA,3,1,2025-07-07,2025-07-08,293.94,297.81,9970.33,10101.6,1.3166
TSLA,3,1,2025-07-24,2025-07-25,305.3,316.06,10101.6,10457.62,3.5244
TSLA,3,1,2025-07-31,2025-08-01,308.27,302.63,10457.62,10266.29,-1.8296
TSLA,3,1,2025-08-29,2025-09-02,333.87,329.36,10266.29,10127.61,-1.3508
TSLA,3,1,2025-09-25,2025-09-26,423.39,440.4,10127.61,10534.5,4.0176
TSLA,3,1,2025-10-02,2025-10-03,436.0,429.83,10534.5,10385.42,-1.4151
TSLA,3,1,2025-10-07,2025-10-08,433.09,438.69,10385.42,10519.71,1.293
TSLA,3,1,2025-10-10,2025-10-13,413.49,435.9,10519.71,11089.84,5.4197
TSLA,3,1,2025-10-24,2025-10-27,433.72,452.42,11089.84,11567.99,4.3115
TSLA,3,1,2025-10-30,2025-10-31,440.1,456.56,11567.99,12000.64,3.7401
TSLA,3,1,2025-11-04,2025-11-05,444.26,462.07,12000.64,12481.73,4.0089
TSLA,3,1,2025-11-06,2025-11-07,445.91,429.52,12481.73,12022.95,-3.6756
TSLA,3,1,2025-11-13,2025-11-14,401.99,404.35,12022.95,12093.53,0.5871
TSLA,3,1,2025-12-08,2025-12-09,439.58,445.17,12093.53,12247.32,1.2717
TSLA,3,1,2025-12-17,2025-12-18,467.26,483.37,12247.32,12669.58,3.4478
TSLA,3,1,2025-12-29,2025-12-30,459.64,454.43,12669.58,12525.97,-1.1335
TSLA,3,1,2026-01-06,2026-01-07,432.96,431.41,12525.97,12481.13,-0.358
TSLA,3,1,2026-01-20,2026-01-21,419.25,431.44,12481.13,12844.03,2.9076
TSLA,3,1,2026-01-26,2026-01-27,435.2,430.9,12844.03,12717.12,-0.9881
TSLA,3,1,2026-01-29,2026-01-30,416.56,430.41,12717.12,13139.95,3.3249
TSLA,3,1,2026-02-04,2026-02-05,406.01,397.21,13139.95,12855.15,-2.1674
TSLA,3,2,2025-02-21,2025-02-25,337.8,302.8,10000.0,8963.88,-10.3612
TSLA,3,2,2025-02-26,2025-02-28,290.8,292.98,8963.88,9031.08,0.7497
TSLA,3,2,2025-03-04,2025-03-06,272.04,263.45,9031.08,8745.92,-3.1576
TSLA,3,2,2025-03-10,2025-03-12,222.15,248.09,8745.92,9767.16,11.6768
TSLA,3,2,2025-03-17,2025-03-19,238.01,235.86,9767.16,9678.93,-0.9033
TSLA,3,2,2025-03-26,2025-03-28,272.06,263.55,9678.93,9376.17,-3.128
TSLA,3,2,2025-04-03,2025-04-07,267.28,233.29,9376.17,8183.81,-12.717
TSLA,3,2,2025-04-08,2025-04-10,221.86,252.4,8183.81,9310.34,13.7654
TSLA,3,2,2025-04-16,2025-04-21,241.55,227.5,9310.34,8768.8,-5.8166
TSLA,3,2,2025-04-30,2025-05-02,282.16,287.21,8768.8,8925.74,1.7898
TSLA,3,2,2025-05-30,2025-06-03,346.46,344.27,8925.74,8869.32,-0.6321
TSLA,3,2,2025-06-04,2025-06-06,332.05,295.14,8869.32,7883.42,-11.1158
TSLA,3,2,2025-06-17,2025-06-20,316.35,322.16,7883.42,8028.21,1.8366
TSLA,3,2,2025-06-25,2025-06-27,327.55,323.63,8028.21,7932.13,-1.1968
TSLA,3,2,2025-07-01,2025-07-03,300.71,315.35,7932.13,8318.3,4.8685
TSLA,3,2,2025-07-07,2025-07-09,293.94,295.88,8318.3,8373.2,0.66
TSLA,3,2,2025-07-24,2025-07-28,305.3,325.59,8373.2,8929.68,6.6459
TSLA,3,2,2025-07-31,2025-08-04,308.27,309.26,8929.68,8958.36,0.3212
TSLA,3,2,2025-08-29,2025-09-03,333.87,334.09,8958.36,8964.26,0.0659
TSLA,3,2,2025-09-25,2025-09-29,423.39,443.21,8964.26,9383.9,4.6813
TSLA,3,2,2025-10-02,2025-10-06,436.0,453.25,9383.9,9755.17,3.9564
TSLA,3,2,2025-10-07,2025-10-09,433.09,435.54,9755.17,9810.35,0.5657
TSLA,3,2,2025-10-10,2025-10-14,413.49,429.24,9810.35,10184.03,3.809
TSLA,3,2,2025-10-24,2025-10-28,433.72,460.55,10184.03,10814.02,6.186
TSLA,3,2,2025-10-30,2025-11-03,440.1,468.37,10814.02,11508.66,6.4235
TSLA,3,2,2025-11-04,2025-11-06,444.26,445.91,11508.66,11551.41,0.3714
TSLA,3,2,2025-11-07,2025-11-11,429.52,439.62,11551.41,11823.03,2.3515
TSLA,3,2,2025-11-13,2025-11-17,401.99,408.92,11823.03,12026.85,1.7239
TSLA,3,2,2025-12-08,2025-12-10,439.58,451.45,12026.85,12351.62,2.7003
TSLA,3,2,2025-12-17,2025-12-19,467.26,481.2,12351.62,12720.11,2.9834
TSLA,3,2,2025-12-29,2025-12-31,459.64,449.72,12720.11,12445.58,-2.1582
TSLA,3,2,2026-01-06,2026-01-08,432.96,435.8,12445.58,12527.22,0.6559
TSLA,3,2,2026-01-20,2026-01-22,419.25,449.36,12527.22,13426.91,7.1819
TSLA,3,2,2026-01-26,2026-01-28,435.2,431.46,13426.91,13311.52,-0.8594
TSLA,3,2,2026-01-29,2026-02-02,416.56,421.81,13311.52,13479.29,1.2603
TSLA,3,2,2026-02-04,2026-02-06,406.01,411.11,13479.29,13648.6,1.2561
TSLA,3,3,2025-02-21,2025-02-26,337.8,290.8,10000.0,8608.64,-13.9136
TSLA,3,3,2025-02-27,2025-03-04,281.95,272.04,8608.64,8306.07,-3.5148
TSLA,3,3,2025-03-06,2025-03-11,263.45,230.58,8306.07,7269.74,-12.4768
TSLA,3,3,2025-03-17,2025-03-20,238.01,236.26,7269.74,7216.29,-0.7353
TSLA,3,3,2025-03-26,2025-03-31,272.06,259.16,7216.29,6874.12,-4.7416
TSLA,3,3,2025-04-03,2025-04-08,267.28,221.86,6874.12,5705.97,-16.9934
TSLA,3,3,2025-04-10,2025-04-15,252.4,254.11,5705.97,5744.63,0.6775
TSLA,3,3,2025-04-16,2025-04-22,241.55,237.97,5744.63,5659.49,-1.4821
TSLA,3,3,2025-04-30,2025-05-05,282.16,280.26,5659.49,5621.38,-0.6734
TSLA,3,3,2025-05-30,2025-06-04,346.46,332.05,5621.38,5387.57,-4.1592
TSLA,3,3,2025-06-05,2025-06-10,284.7,326.09,5387.57,6170.83,14.5381
TSLA,3,3,2025-06-17,2025-06-23,316.35,348.68,6170.83,6801.47,10.2197
TSLA,3,3,2025-06-25,2025-06-30,327.55,317.66,6801.47,6596.1,-3.0194
TSLA,3,3,2025-07-01,2025-07-07,300.71,293.94,6596.1,6447.6,-2.2513
TSLA,3,3,2025-07-24,2025-07-29,305.3,321.2,6447.6,6783.39,5.208
TSLA,3,3,2025-07-31,2025-08-05,308.27,308.72,6783.39,6793.3,0.146
TSLA,3,3,2025-08-29,2025-09-04,333.87,338.53,6793.3,6888.11,1.3958
TSLA,3,3,2025-09-25,2025-09-30,423.39,444.72,6888.11,7235.13,5.0379
TSLA,3,3,2025-10-02,2025-10-07,436.0,433.09,7235.13,7186.84,-0.6674
TSLA,3,3,2025-10-10,2025-10-15,413.49,435.15,7186.84,7563.31,5.2383
TSLA,3,3,2025-10-24,2025-10-29,433.72,461.51,7563.31,8047.92,6.4074
TSLA,3,3,2025-10-30,2025-11-04,440.1,444.26,8047.92,8123.99,0.9452
TSLA,3,3,2025-11-06,2025-11-11,445.91,439.62,8123.99,8009.4,-1.4106
TSLA,3,3,2025-11-13,2025-11-18,401.99,401.25,8009.4,7994.65,-0.1841
TSLA,3,3,2025-12-08,2025-12-11,439.58,446.89,7994.65,8127.6,1.663
TSLA,3,3,2025-12-17,2025-12-22,467.26,488.73,8127.6,8501.05,4.5949
TSLA,3,3,2025-12-29,2026-01-02,459.64,438.07,8501.05,8102.11,-4.6928
TSLA,3,3,2026-01-06,2026-01-09,432.96,445.01,8102.11,8327.61,2.7832
TSLA,3,3,2026-01-20,2026-01-23,419.25,449.06,8327.61,8919.73,7.1103
TSLA,3,3,2026-01-26,2026-01-29,435.2,416.56,8919.73,8537.69,-4.2831
TSLA,3,3,2026-02-04,2026-02-09,406.01,417.32,8537.69,8775.52,2.7856
TSLA,3,4,2025-02-21,2025-02-27,337.8,281.95,10000.0,8346.66,-16.5334
TSLA,3,4,2025-03-04,2025-03-10,272.04,222.15,8346.66,6815.94,-18.3392
TSLA,3,4,2025-03-17,2025-03-21,238.01,248.71,6815.94,7122.36,4.4956
TSLA,3,4,2025-03-26,2025-04-01,272.06,268.46,7122.36,7028.12,-1.3232
TSLA,3,4,2025-04-03,2025-04-09,267.28,272.2,7028.12,7157.49,1.8408
TSLA,3,4,2025-04-10,2025-04-16,252.4,241.55,7157.49,6849.81,-4.2987
TSLA,3,4,2025-04-21,2025-04-25,227.5,284.95,6849.81,8579.57,25.2528
TSLA,3,4,2025-04-30,2025-05-06,282.16,275.35,8579.57,8372.5,-2.4135
TSLA,3,4,2025-05-30,2025-06-05,346.46,284.7,8372.5,6880.02,-17.826
TSLA,3,4,2025-06-17,2025-06-24,316.35,340.47,6880.02,7404.58,7.6245
TSLA,3,4,2025-06-25,2025-07-01,327.55,300.71,7404.58,6797.84,-8.1942
TSLA,3,4,2025-07-07,2025-07-11,293.94,313.51,6797.84,7250.43,6.6578
TSLA,3,4,2025-07-24,2025-07-30,305.3,319.04,7250.43,7576.73,4.5005
TSLA,3,4,2025-07-31,2025-08-06,308.27,319.91,7576.73,7862.82,3.7759
TSLA,3,4,2025-08-29,2025-09-05,333.87,350.84,7862.82,8262.48,5.0828
TSLA,3,4,2025-09-25,2025-10-01,423.39,459.46,8262.48,8966.39,8.5193
TSLA,3,4,2025-10-02,2025-10-08,436.0,438.69,8966.39,9021.71,0.617
TSLA,3,4,2025-10-10,2025-10-16,413.49,428.75,9021.71,9354.65,3.6905
TSLA,3,4,2025-10-24,2025-10-30,433.72,440.1,9354.65,9492.26,1.471
TSLA,3,4,2025-11-04,2025-11-10,444.26,445.23,9492.26,9512.99,0.2183
TSLA,3,4,2025-11-13,2025-11-19,401.99,403.99,9512.99,9560.32,0.4975
TSLA,3,4,2025-12-08,2025-12-12,439.58,458.96,9560.32,9981.81,4.4088
TSLA,3,4,2025-12-17,2025-12-23,467.26,485.56,9981.81,10372.74,3.9164
TSLA,3,4,2025-12-29,2026-01-05,459.64,451.67,10372.74,10192.88,-1.734
